ayah,token_index,surface,plain,gold_class,predicted_class,source,proof_kind,error_family
3:22,8,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:36,9,أَعْلَمُ,أعلم,ISM_MUARAB,FIIL,MASAQ:477,Certificate,noun_misread_as_verb
3:38,10,لَدُنْكَ,لدنك,ISM_MUARAB,HARF,MASAQ:6287,Certificate,ISM_MUARAB_to_HARF
3:44,7,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:44,16,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:52,7,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
3:56,10,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:62,6,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:67,1,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
3:67,11,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:69,8,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:69,12,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:75,4,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
3:75,11,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
3:78,10,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:78,19,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:79,1,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
3:83,7,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
3:91,21,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:92,8,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:95,8,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:97,15,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
3:99,15,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:108,7,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:115,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:117,18,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:126,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:126,10,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:135,12,وَمَنْ,ومن,ISM_MAWSOOL,HARF,MASAQ:1895,Certificate,ISM_MAWSOOL_to_HARF
3:144,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:145,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:146,15,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:146,17,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:147,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:152,22,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
3:152,26,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
3:154,48,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
3:156,20,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
3:156,22,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:161,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:166,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:167,31,أَعْلَمُ,أعلم,ISM_MUARAB,FIIL,MASAQ:477,Certificate,noun_misread_as_verb
3:168,7,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
3:179,1,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
3:179,15,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:185,18,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
3:191,14,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
3:192,3,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
3:192,8,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
4:13,18,الْعَظِيمُ,العظيم,ISM_MUARAB,JAMID,MASAQ:5243,Certificate,ISM_MUARAB_to_JAMID
4:25,18,أَعْلَمُ,أعلم,ISM_MUARAB,FIIL,MASAQ:477,Certificate,noun_misread_as_verb
4:45,2,أَعْلَمُ,أعلم,ISM_MUARAB,FIIL,MASAQ:477,Certificate,noun_misread_as_verb
4:55,2,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
4:55,6,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
4:64,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
4:66,12,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
4:75,25,لَدُنْكَ,لدنك,ISM_MUARAB,HARF,MASAQ:6287,Certificate,ISM_MUARAB_to_HARF
4:75,30,لَدُنْكَ,لدنك,ISM_MUARAB,HARF,MASAQ:6287,Certificate,ISM_MUARAB_to_HARF
4:79,1,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
4:79,7,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
4:80,1,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
4:85,1,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
4:92,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
4:104,16,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
4:109,15,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
4:113,11,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
4:113,15,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
4:120,3,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
4:134,1,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
4:147,1,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
4:157,10,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
4:157,12,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
4:157,24,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
4:157,32,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
5:6,47,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
5:17,25,وَمَنْ,ومن,ISM_MAWSOOL,HARF,MASAQ:1895,Certificate,ISM_MAWSOOL_to_HARF
5:19,14,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
5:28,6,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
5:36,17,يَوْمِ,يوم,HARF,ISM_MUARAB,MASAQ:12,Certificate,HARF_to_ISM_MUARAB
5:37,6,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
5:43,13,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
5:50,4,وَمَنْ,ومن,ISM_MAWSOOL,HARF,MASAQ:1895,Certificate,ISM_MAWSOOL_to_HARF
5:60,13,وَغَضِبَ,وغضب,FIIL,ISM_MUARAB,MASAQ:11777,Certificate,verb_misread_as_noun
5:61,13,أَعْلَمُ,أعلم,ISM_MUARAB,FIIL,MASAQ:477,Certificate,noun_misread_as_verb
5:72,30,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
5:73,9,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
5:75,1,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
5:76,6,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
5:81,9,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
5:84,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
5:97,20,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
5:99,1,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
5:99,10,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
5:103,1,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
5:107,21,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
5:115,8,بَعْدُ,بعد,HARF,ISM_MUARAB,MASAQ:4468,Certificate,HARF_to_ISM_MUARAB
5:116,18,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
5:117,1,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
5:119,24,الْعَظِيمُ,العظيم,ISM_MUARAB,JAMID,MASAQ:5243,Certificate,ISM_MUARAB_to_JAMID
5:120,5,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:4,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:19,17,وَمَنْ,ومن,ISM_MAWSOOL,HARF,MASAQ:1895,Certificate,ISM_MAWSOOL_to_HARF
6:23,10,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
6:26,10,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:29,7,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:32,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:38,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:38,13,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
6:39,12,وَمَنْ,ومن,ISM_MAWSOOL,HARF,MASAQ:1895,Certificate,ISM_MAWSOOL_to_HARF
6:46,11,مَنْ,من,HARF,ISM_MAWSOOL,MASAQ:91,Certificate,harf_vs_mawsool_ambiguity
6:48,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:52,10,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
6:52,16,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:56,18,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:57,9,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
6:58,13,أَعْلَمُ,أعلم,ISM_MUARAB,FIIL,MASAQ:477,Certificate,noun_misread_as_verb
6:59,13,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:69,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:79,9,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:91,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:91,8,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
6:92,12,وَمَنْ,ومن,ISM_MAWSOOL,HARF,MASAQ:1895,Certificate,ISM_MAWSOOL_to_HARF
6:93,16,وَمَنْ,ومن,ISM_MAWSOOL,HARF,MASAQ:1895,Certificate,ISM_MAWSOOL_to_HARF
6:94,13,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:104,12,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:107,4,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
6:107,6,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:107,10,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:109,15,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:111,13,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
6:112,19,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
6:112,22,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:117,4,أَعْلَمُ,أعلم,ISM_MUARAB,FIIL,MASAQ:477,Certificate,noun_misread_as_verb
6:117,10,أَعْلَمُ,أعلم,ISM_MUARAB,FIIL,MASAQ:477,Certificate,noun_misread_as_verb
6:119,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:119,29,أَعْلَمُ,أعلم,ISM_MUARAB,FIIL,MASAQ:477,Certificate,noun_misread_as_verb
6:123,10,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:123,14,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:124,15,أَعْلَمُ,أعلم,ISM_MUARAB,FIIL,MASAQ:477,Certificate,noun_misread_as_verb
6:127,3,السَّلَامِ,السلام,JAMID,ISM_MUARAB,MASAQ:13928,Certificate,proper_noun_misclassified
6:132,5,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:134,5,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:136,15,فَمَا,فما,ISM_MAWSOOL,HARF,MASAQ:187,Certificate,ISM_MAWSOOL_to_HARF
6:136,22,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:137,16,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
6:137,19,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:140,18,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:144,4,وَمِنَ,ومن,ISM_MAWSOOL,HARF,MASAQ:89,Certificate,ISM_MAWSOOL_to_HARF
6:148,7,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
6:151,28,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
6:161,13,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
7:7,4,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
7:16,2,فَبِمَا,فبما,ISM_MAWSOOL,HARF,closed_class_set_no_kind,Hypothesis,ISM_MAWSOOL_to_HARF
7:20,12,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
7:33,9,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
7:43,17,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
7:48,8,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
7:48,12,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
7:51,16,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
7:59,10,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
7:65,2,عَادٍ,عاد,JAMID,ISM_MUARAB,MASAQ:3127,Certificate,proper_noun_misclassified
7:65,9,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
7:71,15,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
7:72,11,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
7:73,9,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
7:74,7,عَادٍ,عاد,JAMID,ISM_MUARAB,MASAQ:3127,Certificate,proper_noun_misclassified
7:80,7,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
7:82,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
7:85,9,مَا,ما,HARF,ISM_MAWSOOL,MASAQ:200,Certificate,harf_vs_mawsool_ambiguity
7:89,15,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
7:94,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
7:102,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
7:126,1,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
7:131,12,وَمَنْ,ومن,ISM_MAWSOOL,HARF,MASAQ:1895,Certificate,ISM_MAWSOOL_to_HARF
7:137,27,وَمَا,وما,HARF,ISM_MAWSOOL,MASAQ:51,Certificate,harf_vs_mawsool_ambiguity
