source_path,source_type,entry_count,keys,target_classes,closed_class,requires_context,notes
02_mabniyat/present_naseb_tools.json,closed_class,10,id|tool|parsing|syntactic_function|meaning_usage|work_condition|example|al_bab_althani_id,HARF,yes,no,
02_mabniyat/present_tense_building_cases.json,closed_class,3,id|status|definition|rule_when_connected|condition|example|brief_parse|created_at,FIIL,yes,no,
02_mabniyat/pronouns_classification.json,closed_class,43,id|pronoun|pronoun_form|example|category|meaning|form|al_bab_althani_id,ISM_MABNI,yes,no,
02_mabniyat/relative_pronouns.json,closed_class,48,id|name|number|gender|example|grammatical_analysis|al_bab_althani_id,ISM_MAWSOOL,yes,yes,
02_mabniyat/types_of_i3rab.json,closed_class,3,id|title|description|example|example_explanation,meta,yes,no,
02_mabniyat/verb_building_rules.json,closed_class,10,id|type|statement|example|verb_parse|build_mark|mark_position|al_bab_althani_id,FIIL,yes,no,
02_mabniyat/verb_name.json,closed_class,57,id|name|tense|type|meaning|example|al_bab_althani_id,FIIL|ISM_MUARAB,yes,no,
02_mabniyat/vocative_particles.json,closed_class,9,id|particle|particle_type|usage|syntactic_analysis|semantic_analysis|example|al_bab_althani_id,HARF,yes,no,
03_juthur_mushtaqat/descriptive_adjective_forms.json,pattern,10,id|form|description|example,ISM_MUARAB,no,no,
03_juthur_mushtaqat/marra_conditions.json,pattern,3,id|title|description|example|notes,meta,no,no,
03_juthur_mushtaqat/marra_sources.json,pattern,7,id|title|description|example|notes,ISM_MUARAB,no,no,
03_juthur_mushtaqat/non_passive_participles.json,pattern,6,id|verb|verb_type|present_verb|pattern|passive_participle|note,ISM_MUARAB,no,no,
03_juthur_mushtaqat/passive_participles_triliteral.json,pattern,10,id|verb_root|pattern|example_verb|verb_type|passive_participle|example_sentence|note,ISM_MUARAB,no,no,
03_juthur_mushtaqat/quad_verb_analysis.json,pattern,7,id|root|bab_id|past|present|command|verb_type_id|health_type,FIIL,no,no,
03_juthur_mushtaqat/shadda_positions.json,pattern,2,id|title|description|example|notes,meta,no,no,
03_juthur_mushtaqat/shadda_types.json,pattern,3,id|title|description|example|notes,meta,no,no,
03_juthur_mushtaqat/shadda_weight_rules.json,pattern,3,id|title|description|example|notes,meta,no,no,
03_juthur_mushtaqat/tamyeez_guides.json,pattern,4,id|title|description|example|notes,ISM_MUARAB,no,no,
03_juthur_mushtaqat/triliteral_active_participles.json,pattern,9,id|verb_form|pattern|verb_example|verb_type|participle_with_harakat|explanation,ISM_MUARAB,no,no,
04_nahw/accusative_verbs.json,rule,6,id|nasb_tool|function|example|i3rab|created_at|updated_at|is_deleted,FIIL,no,no,
04_nahw/al_ism_almaqsur.json,rule,7,id|section|description|example|is_deleted|edit_by|created_at|updated_at,ISM_MUARAB,no,no,
04_nahw/comparative_exceptions.json,rule,2,id|title|rule|examples|is_deleted|edit_by|created_at|updated_at,ISM_MUARAB,no,no,
04_nahw/comparative_noun_rules.json,rule,7,id|description|notes|is_deleted|edit_by|created_at|updated_at,meta,no,no,
04_nahw/comparative_nouns.json,rule,6,id|root|baab|tasreef|comparative_noun|comparative_wazn|notes|created_at,ISM_MUARAB,no,yes,
04_nahw/exception_ahkam_ghayr_siwa.json,rule,3,id|name|description|example|is_deleted|edit_by|created_at|updated_at,ISM_MUARAB,no,no,
04_nahw/exception_ahkam_illa.json,rule,6,id|name|description|example|is_deleted|edit_by|created_at|updated_at,HARF,no,yes,
04_nahw/exception_ahkam_khala_ada_hasha.json,rule,3,id|name|description|example|is_deleted|edit_by|created_at|updated_at,FIIL|HARF,no,no,
04_nahw/exception_definitions.json,rule,1,id|الاستثناء|التوضيح|الشواهد|created_at|updated_at,meta,no,no,
04_nahw/extended_nouns.json,rule,7,id|type|description|examples|created_at|updated_at,ISM_MUARAB,no,no,
04_nahw/kana_sisters.json,rule,10,id|title|description|example|notes|is_deleted|edited_by|created_at,FIIL,no,no,
04_nahw/maf3ool_types.json,rule,6,id|title|description|example|notes|is_deleted|edited_by|created_at,meta,no,no,
04_nahw/nominative_cases.json,rule,15,id|type|definition|example|marker|i3rab|notes|is_deleted,meta,no,no,
04_nahw/noun_classification.json,rule,13,id|title|description|example|created_at|updated_at|is_deleted|edit_by,meta,no,no,
04_nahw/noun_extension_rules.json,rule,10,id|type|title|description|examples|is_deleted|edit_by|created_at,meta,no,no,
04_nahw/sound_verb_types.json,rule,4,id|title|description|examples|notes|is_deleted|edited_by|created_at,FIIL,no,no,
04_nahw/ta_fael.json,rule,4,id|title|description|examples|notes|edited_by|is_deleted|created_at,meta,no,no,
04_nahw/verb_classifications.json,rule,15,id|type|classification|clarification|examples|created_at|updated_at|is_deleted,FIIL,no,no,
04_nahw/verb_subject_rules.json,rule,7,id|example|reason_explanation|rule|subject_state|is_deleted|edit_by|created_at,meta,no,no,
04_nahw/verbs_five_forms.json,rule,4,id|formula|conscience|example|raised_tag|accusative_sign|jazm_sign|verb_five_form_1,FIIL,no,no,
MASAQ.csv,benchmark,157676,ID|Sura_No|Verse_No|Word_No|Segment_No|Word|Without_Diacritics|Segmented_Word,,no,no,Arabic Quran morphological gold standard
MASAQ_validation_report.txt,unknown,18,,,no,no,
awzan/awzan_cleaned_8_5_2026.csv,pattern,453,الوزن|مثال|CV_الوزن|CV_مثال,,no,no,
awzan/awzan_meanings.csv,pattern,106,الوزن|النوع_الصرفي|الاسم_الكلاسيكي|الوصف|الممثل|Form|المصدر|ملاحظات,,no,no,
awzan/awzan_merged_final.before_catalog_cleanup.csv,pattern,500,﻿ser|الوزن|CV|مثال,,no,no,
awzan/awzan_merged_final.before_catalog_cleanup.pre_diacritic_fix.csv,pattern,500,ser|الوزن|CV|مثال,,no,no,
awzan/awzan_merged_final.csv,pattern,380,الوزن|CV_الوزن|مثال1|مثال2|مثال3|مثال4|مثال5|CV_مثال1,,no,no,
awzan/awzan_semantic_architecture.json,pattern,90,ser|surface_wazn|cv|example|analysis_status|operators|inflection_prefixes|stem_wazn,,no,no,
awzan/canonical_awzan.csv,pattern,387,original_wazn|normalized_wazn|group_id|selected_canonical|reason,,no,no,
awzan/canonical_awzan_strict.csv,pattern,387,original_wazn|normalized_wazn|group_id|selected_canonical|reason,,no,no,
awzan/canonical_awzan_strict_summary.json,pattern,12,total_input_unique|prefix_wa_removed_count|prefix_fa_conjunction_removed_count|suffix_won_removed_count|final_haraka_removed_count,,no,no,
awzan/canonical_awzan_summary.json,pattern,9,total_input_unique|prefix_wa_removed_count|prefix_fa_conjunction_removed_count|suffix_won_removed_count|final_haraka_removed_count,,no,no,
awzan/core_wazn_semantic_models.json,pattern,6,wazn|type|general_meaning|semantic_core|roles|architecture|notes,,no,no,
awzan/wazn_semantic_entry.schema.json,pattern,7,$schema|$id|title|type|required,,no,no,
awzan_cleaned_unique.txt,pattern,419,,,no,no,قائِمَة أَوزان
awzan_cleaned_with_example.csv,pattern,500,﻿ser|الوزن|مثال,,no,no,500 أَوزان مَع أَمثِلَة
awzan_cleaned_with_example_unique_pairs.csv,pattern,487,﻿الوزن|مثال,,no,no,أَوزان فَريدَة
awzan_merged_final100.csv,pattern,500,ser|الوزن|CV|مثال,,no,no,100 وَزن مَوحَّد
connectives_api/connectives_category_17.json,closed_class,4,id|name|name_without_harakat|word_type_id|transliteration|pronunciation|meaning|definition,,yes,no,
connectives_api/connectives_category_18.json,closed_class,10,id|name|name_without_harakat|word_type_id|transliteration|pronunciation|meaning|definition,,yes,no,
connectives_api/connectives_category_19.json,closed_class,11,id|name|name_without_harakat|word_type_id|transliteration|pronunciation|meaning|definition,,yes,no,
connectives_api/connectives_category_21.json,closed_class,11,id|name|name_without_harakat|word_type_id|transliteration|pronunciation|meaning|definition,,yes,no,
connectives_api/connectives_category_23.json,closed_class,16,id|name|name_without_harakat|word_type_id|transliteration|pronunciation|meaning|definition,,yes,no,
connectives_api/connectives_category_25.json,closed_class,20,id|name|name_without_harakat|word_type_id|transliteration|pronunciation|meaning|definition,,yes,no,
connectives_api/connectives_category_29.json,closed_class,11,id|name|name_without_harakat|word_type_id|transliteration|pronunciation|meaning|definition,,yes,no,
connectives_api/connectives_category_3.json,closed_class,22,id|name|name_without_harakat|word_type_id|transliteration|pronunciation|meaning|definition,,yes,no,
connectives_api/connectives_category_31.json,closed_class,9,id|name|name_without_harakat|word_type_id|transliteration|pronunciation|meaning|definition,,yes,no,
connectives_api/connectives_category_5.json,closed_class,7,id|name|name_without_harakat|word_type_id|transliteration|pronunciation|meaning|definition,,yes,no,
connectives_api/connectives_category_9.json,closed_class,18,id|name|name_without_harakat|word_type_id|transliteration|pronunciation|meaning|definition,,yes,no,
data_bank.csv,lexicon,458,|الباب|الفصل|الموضوع الرئيس|الموضوعات الفرعية|تجميع المادة العلمية |رفع المادة على قاعدة البيانات|التدقيق ,,no,no,general data bank
horof_muaqatah.csv,closed_class,0,,,yes,no,PARSE_ERROR: 'utf-8' codec can't decode byte 0xb7 in position 14: invalid start byte
masaq_ayahs.csv,benchmark,6236,﻿Sura_No|Verse_No|Ayah_Text|Word_Count,,no,no,MASAQ ayah list
mishkat_word_root.csv,lexicon,16423,root|word|count,,no,no,16k Arabic word→root pairs
operators_catalog_gate_entries.json,closed_class,5,version|description|source_csv|skipped_rows|entries,,yes,no,العَوامِل كَ gates
operators_catalog_split.csv,closed_class,103,Group Number|Arabic Group Name|English Group Name|Operator|Purpose/Usage|Example|Note,,yes,no,العَوامِل المِئَة
operators_catalog_split_vocalized.csv,closed_class,102,﻿Group Number|Arabic Group Name|English Group Name|Operator|Purpose/Usage|Example|Note|Example_Vocalized,,yes,no,العَوامِل بِالتَّشكيل
operators_particles.json,closed_class,3,version|description|entries,,yes,no,particle operators
quran/baselines/i3rab_summary_POST_G1.json,unknown,7,total_words|by_match_level|pattern_string_counts|mismatch_subcounts|top_mismatch_words,,no,no,
quran/baselines/i3rab_summary_POST_H1_T1.json,unknown,16,total_words|by_match_level|pattern_string_counts|mismatch_subcounts|top_10_mismatch_level_patterns,,no,no,
quran/baselines/i3rab_summary_POST_W1.json,unknown,9,total_words|by_match_level|pattern_string_counts|mismatch_subcounts|top_mismatch_words,,no,no,
quran/baselines/i3rab_summary_PRE_H1_T1.json,unknown,16,total_words|by_match_level|pattern_string_counts|mismatch_subcounts|top_10_mismatch_level_patterns,,no,no,
quran/exports/quran_ayah_texts.txt,unknown,6226,,,no,no,
quran/exports/quran_ayahs_report.json,unknown,8,csv_path|word_rows|unique_ayahs|words_per_ayah_min|words_per_ayah_max,,no,no,
quran/i3rab_cases_catalog.csv,examples,3854,Case|CasePhrase|Count|SampleSurah|SampleAyah|SampleWord|SampleSegment,,no,no,
quran/i3rab_marks_catalog.csv,examples,434,Mark|LinkedCase|MarkPhrase|Count|SampleSurah|SampleAyah|SampleWord|SampleSegment,,no,no,
quran/i3rab_ref/example_2_19_sawaqiq.csv,unknown,3,token|source_type|role_id|case_id|mark_id|operator_key,,no,no,
quran/i3rab_ref/i3rab_cases.csv,unknown,5,case_id|case_name_ar,,no,no,
quran/i3rab_ref/i3rab_marks.csv,unknown,14,mark_id|case_id|mark_name_ar|mark_text_ar,,no,no,
quran/i3rab_ref/i3rab_operators.csv,unknown,97,operator|operator_key|operator_i3rab|occurrences_in_quran,,no,no,
quran/i3rab_ref/i3rab_operators_manual.csv,unknown,2,operator_key|operator_i3rab|note,,no,no,
quran/i3rab_ref/i3rab_roles.csv,unknown,3854,role_id|case_id|role_name_ar|role_phrase_ar,,no,no,
quran/i3rab_template_catalog.json,examples,2,meta|templates,,no,no,
quran/quran-uthmani.txt,examples,6226,,,no,no,
quran/quran_i3rab.csv,examples,77374,﻿surah|ayah|word|i3rab,,no,no,
quran/quran_i3rab_labels_summary.json,examples,7,source|output|disclaimer|total_rows|rows_with_labels,,no,no,
quran/quran_i3rab_mismatch_patterns_summary.json,examples,16,total_words|by_match_level|pattern_string_counts|mismatch_subcounts|top_10_mismatch_level_patterns,,no,no,
test_corpus.csv,examples,103,||||||,,no,no,test sentences
الهدف_الخامس_علم_الب/al_eltefat.json,unknown,4,id|main_title|details|is_deleted|edit_by|created_at|updated_at,,no,no,
الهدف_الخامس_علم_الب/al_eltefat_number_sections.json,unknown,6,id|transition_type|example|ayah_reference|is_deleted|edit_by|created_at|updated_at,,no,no,
الهدف_الخامس_علم_الب/al_eltefat_sections.json,unknown,5,id|section_title|example|ayah_reference|is_deleted|edit_by|created_at|updated_at,,no,no,
الهدف_الخامس_علم_الب/azdawaj.json,unknown,3,id|title|description|is_deleted|edit_by|created_at|updated_at,,no,no,
الهدف_الخامس_علم_الب/azdawaj_types.json,unknown,3,id|type|description|example|is_deleted|edit_by|created_at|updated_at,,no,no,
الهدف_الخامس_علم_الب/comparison.json,unknown,1,id|type|definition|example|analysis|reference|is_deleted|edit_by,,no,no,
الهدف_الخامس_علم_الب/consider_peer.json,unknown,8,id|element|description|example|created_at|updated_at|is_deleted|edit_by,,no,no,
الهدف_الخامس_علم_الب/exaggeration_glorification.json,unknown,3,id|name|description|example|analysis|is_deleted|edit_by|created_at,,no,no,
الهدف_الخامس_علم_الب/exaggerations.json,unknown,1,id|title|description|example|reference|is_deleted|edit_by|created_at,,no,no,
الهدف_الخامس_علم_الب/lazooms.json,unknown,10,id|title|description|example|analysis|is_deleted|edit_by|created_at,,no,no,
الهدف_الخامس_علم_الب/musically_balanced_values.json,unknown,6,id|value_type|description|example|created_at|updated_at|is_deleted|edit_by,,no,no,
الهدف_الخامس_علم_الب/personification.json,unknown,1,id|title|description|examples|notes|is_deleted|edited_by|created_at,,no,no,
الهدف_الخامس_علم_الب/personification_tashkhees.json,unknown,1,id|title|description|examples|notes|is_deleted|edited_by|created_at,,no,no,
الهدف_الخامس_علم_الب/personification_types.json,unknown,4,id|title|description|examples|notes|is_deleted|edited_by|created_at,,no,no,
الهدف_الخامس_علم_الب/rad_alajz.json,unknown,5,id|title|definition|examples|reference|is_deleted|edit_by|created_at,,no,no,
الهدف_الخامس_علم_الب/rad_alajz_in_poetry.json,unknown,4,id|type|description|example|is_deleted|edit_by|created_at|updated_at,,no,no,
الهدف_الخامس_علم_الب/rad_alajz_types.json,unknown,4,id|name|description|example|is_deleted|edit_by|created_at|updated_at,,no,no,
الهدف_الخامس_علم_الب/rhetorical_usage_entries.json,unknown,4,id|section_title|description|example|analysis|is_deleted|edit_by|created_at,,no,no,
الهدف_الخامس_علم_الب/rhetorical_usages.json,unknown,1,id|title|description|example|analysis|reference_book|is_deleted|edit_by,,no,no,
الهدف_الخامس_علم_الب/tasree3.json,unknown,8,id|type|description|examples,,no,no,
الهدف_الخامس_علم_الب/tasree3_definition.json,unknown,1,id|definition|example|is_deleted|edit_by,,no,no,
الهدف_الخامس_علم_الب/tawriyah.json,unknown,4,id|type|example|near_meaning|far_meaning|naming_reason|rhetorical_hint|rhetorical_comment,,no,no,
الهدف_الخامس_علم_الب/tawriyah_conditions.json,unknown,8,id|title|description|is_deleted|edit_by|created_at|updated_at|example,,no,no,
الهدف_الخامس_علم_الب/tawriyah_definition.json,unknown,1,id|term|description|example|analysis|is_deleted|edit_by,,no,no,
الهدف_الخامس_علم_الب/tibaq.json,unknown,12,id|type|description|examples|features|is_deleted|edit_by|created_at,,no,no,
الهدف_الخامس_علم_الب/tibaq_definition.json,unknown,1,id|definition|example|is_deleted|edit_by,,no,no,
الهدف_السابع_باب_علم/majaz-types.json,unknown,15,id|type|relation|definition|example|is_deleted|edit_by|created_at,,no,no,
الهدف_السابع_باب_علم/metaphors_metaphors_definitions.json,unknown,8,id|metaphor_type|description|example|created_at|updated_at|is_deleted|edit_by,,no,no,
الهدف_السابع_باب_علم/metonymy-types.json,unknown,10,id|type|description|example|is_deleted|edit_by|created_at|updated_at,,no,no,
الهدف_السابع_باب_علم/simile_components.json,unknown,4,id|type|description|examples|is_deleted|edit_by|created_at|updated_at,,no,no,
الهدف_السابع_باب_علم/simile_types.json,unknown,11,id|type|main_category|description|examples|is_deleted|edit_by|created_at,,no,no,
الهدف_السادس_باب_علم/assignment_forms.json,unknown,4,id|title|example|is_deleted|edit_by|created_at|updated_at,,no,no,
الهدف_السادس_باب_علم/assignment_positions.json,unknown,10,id|informative_assignments_id|title|example|is_deleted|edit_by|created_at|updated_at,,no,no,
الهدف_السادس_باب_علم/connection-types.json,unknown,6,id|type|description|examples|features|notes|is_deleted|edit_by,,no,no,
الهدف_السادس_باب_علم/delay-orders.json,unknown,5,id|type|description|example|properties|notes|created_at|updated_at,,no,no,
الهدف_السادس_باب_علم/informative_assignments.json,unknown,3,id|title|description|examples|analysis|is_deleted|edit_by|created_at,,no,no,
الهدف_السادس_باب_علم/mentioning_subject_predicate.json,unknown,11,id|title|description|example|notes|is_deleted|edited_by|created_at,,no,no,
الهدف_السادس_باب_علم/musnad-ilayh-topic.json,unknown,6,id|type|definition|examples|created_at|updated_at|is_deleted|edit_by,,no,no,
الهدف_السادس_باب_علم/musnad-mention-reasons.json,unknown,4,id|title|description|example|notes|is_deleted|edited_by|created_at,,no,no,
الهدف_السادس_باب_علم/musnad-topics.json,unknown,7,id|name|definition|example|is_deleted|edit_by|created_at|updated_at,,no,no,
الهدف_السادس_باب_علم/presentation_orders.json,unknown,8,id|type|description|examples|properties|notes|created_at|updated_at,,no,no,
الهدف_السادس_باب_علم/qasr_examples.json,unknown,5,id|example|description|title|created_at|updated_at|is_deleted|edit_by,,no,no,
الهدف_السادس_باب_علم/qasr_methods.json,unknown,4,id|method_name|description|example|created_at|updated_at|is_deleted|edit_by,,no,no,
الهدف_السادس_باب_علم/qasr_types.json,unknown,7,id|main_category|sub_category|example|explanation|type_label|created_at|updated_at,,no,no,
الهدف_السادس_باب_علم/separation-types.json,unknown,7,id|type|description|examples|features|notes|is_deleted|edit_by,,no,no,
الهدف_السادس_باب_علم/synonyms.json,unknown,10,id|name|description|examples|properties|notes|created_at|updated_at,,no,no,
