surah,ayah,token_index,surface,plain,prev,next,gold,pred,candidates,certainty,needs_context,resolution_reason
2,23,16,دُونِ,دون,مِنْ,اللَّهِ,ISM_MUARAB,ISM_MUARAB,,Certificate,False,MASAQ:310
2,23,18,إِنْ,إن,اللَّهِ,كُنْتُمْ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/conditional_letters_tools.json#1
2,25,6,أَنَّ,أن,الصَّالِحَاتِ,لَهُمْ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/copulative_particle.json#2
2,25,10,مِنْ,من,تَجْرِي,تَحْتِهَا,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,25,16,مِنْ,من,مِنْهَا,ثَمَرَةٍ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,25,23,مِنْ,من,رُزِقْنَا,قَبْلُ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,26,1,إِنَّ,إن,,اللَّهَ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/letters_answers.json#4
2,26,5,أَنْ,أن,يَسْتَحْيِي,يَضْرِبَ,HARF,HARF,HARF,Certificate,False,registry:plain:02_mabniyat/present_naseb_tools.json#1
2,26,18,مِنْ,من,الْحَقُّ,رَبِّهِمْ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,26,38,إِلَّا,إلا,بِهِ,الْفَاسِقِينَ,HARF,HARF,,Certificate,False,MASAQ:106
2,27,5,مِنْ,من,اللَّهِ,بَعْدِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,27,9,مَا,ما,وَيَقْطَعُونَ,أَمَرَ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,27,13,أَنْ,أن,بِهِ,يُوصَلَ,HARF,HARF,HARF,Certificate,False,registry:plain:02_mabniyat/present_naseb_tools.json#1
2,29,5,مَا,ما,لَكُمْ,فِي,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,30,13,مَنْ,من,فِيهَا,يُفْسِدُ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#3
2,30,26,مَا,ما,أَعْلَمُ,لَا,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,31,13,إِنْ,إن,هَؤُلَاءِ,كُنْتُمْ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/conditional_letters_tools.json#1
2,32,6,إِلَّا,إلا,لَنَا,مَا,HARF,HARF,,Certificate,False,MASAQ:106
2,32,7,مَا,ما,إِلَّا,عَلَّمْتَنَا,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,33,18,مَا,ما,وَأَعْلَمُ,تُبْدُونَ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,34,7,إِلَّا,إلا,فَسَجَدُوا,إِبْلِيسَ,HARF,HARF,,Certificate,False,MASAQ:106
2,34,12,مِنَ,من,وَكَانَ,الْكَافِرِينَ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#32
2,35,17,مِنَ,من,فَتَكُونَا,الظَّالِمِينَ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#32
2,37,3,مِنْ,من,آدَمُ,رَبِّهِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,41,2,بِمَا,بما,وَآمِنُوا,أَنْزَلْتُ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,True,MASAQ:48
2,45,6,إِلَّا,إلا,لَكَبِيرَةٌ,عَلَى,HARF,HARF,,Certificate,False,MASAQ:106
2,49,3,مِنْ,من,نَجَّيْنَاكُمْ,آلِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,49,16,مِنْ,من,بَلَاءٌ,رَبِّكُمْ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,51,9,مِنْ,من,الْعِجْلَ,بَعْدِهِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,52,4,مِنْ,من,عَنْكُمْ,بَعْدِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,55,7,حَتَّى,حتى,لَكَ,نَرَى,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/preposition_meanings.json#48
2,56,3,مِنْ,من,بَعَثْنَاكُمْ,بَعْدِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,57,9,مِنْ,من,كُلُوا,طَيِّبَاتِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,57,11,مَا,ما,طَيِّبَاتِ,رَزَقْنَاكُمْ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,59,5,غَيْرَ,غير,قَوْلَاً,الَّذِي,ISM_MUARAB,ISM_MUARAB,,Certificate,False,MASAQ:870
2,59,14,مِنَ,من,رِجْزَاً,السَّمَاءِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#32
2,59,16,بِمَا,بما,السَّمَاءِ,كَانُوا,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,True,MASAQ:48
2,60,21,مِنْ,من,وَاشْرَبُوا,رِزْقِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,61,17,مِنْ,من,الْأَرْضُ,بَقْلِهَا,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,61,35,مَا,ما,لَكُمْ,سَأَلْتُمْ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,61,43,مِنَ,من,بِغَضَبٍ,اللَّهِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#32
2,61,56,بِمَا,بما,ذَلِكَ,عَصَوْا,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,True,MASAQ:48
2,62,1,إِنَّ,إن,,الَّذِينَ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/letters_answers.json#4
2,62,8,مَنْ,من,وَالصَّابِئِينَ,آمَنَ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#3
2,63,8,مَا,ما,خُذُوا,آتَيْنَاكُمْ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,63,12,مَا,ما,وَاذْكُرُوا,فِيهِ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,64,3,مِنْ,من,تَوَلَّيْتُمْ,بَعْدِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,64,12,مِنَ,من,لَكُنْتُمْ,الْخَاسِرِينَ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#32
2,67,5,إِنَّ,إن,لِقَوْمِهِ,اللَّهَ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/letters_answers.json#4
2,67,8,أَنْ,أن,يَأْمُرُكُمْ,تَذْبَحُوا,HARF,HARF,HARF,Certificate,False,registry:plain:02_mabniyat/present_naseb_tools.json#1
2,67,17,أَنْ,أن,بِاللَّهِ,أَكُونَ,HARF,HARF,HARF,Certificate,False,registry:plain:02_mabniyat/present_naseb_tools.json#1
2,67,19,مِنَ,من,أَكُونَ,الْجَاهِلِينَ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#32
2,68,22,مَا,ما,فَافْعَلُوا,تُؤْمَرُونَ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,70,9,إِنَّ,إن,هِيَ,الْبَقَرَ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/letters_answers.json#4
2,70,14,إِنْ,إن,وَإِنَّا,شَاءَ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/conditional_letters_tools.json#1
2,72,8,مَا,ما,مُخْرِجٌ,كُنْتُمْ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,74,4,مِنْ,من,قُلُوبُكُمْ,بَعْدِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,74,13,مِنَ,من,وَإِنَّ,الْحِجَارَةِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#32
2,74,30,مِنْ,من,يَهْبِطُ,خَشْيَةِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,75,2,أَنْ,أن,أَفَتَطْمَعُونَ,يُؤْمِنُوا,HARF,HARF,HARF,Certificate,False,registry:plain:02_mabniyat/present_naseb_tools.json#1
2,75,14,مِنْ,من,يُحَرِّفُونَهُ,بَعْدِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,75,16,مَا,ما,بَعْدِ,عَقَلُوهُ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,76,14,بِمَا,بما,أَتُحَدِّثُونَهُمْ,فَتَحَ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,True,MASAQ:48
2,77,3,أَنَّ,أن,يَعْلَمُونَ,اللَّهَ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/copulative_particle.json#2
2,77,6,مَا,ما,يَعْلَمُ,يُسِرُّونَ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,78,6,إِلَّا,إلا,الْكِتَابَ,أَمَانِيَّ,HARF,HARF,,Certificate,False,MASAQ:106
2,78,10,إِلَّا,إلا,هُمْ,يَظُنُّونَ,HARF,HARF,,Certificate,False,MASAQ:106
2,79,9,مِنْ,من,هَذَا,عِنْدِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,80,5,إِلَّا,إلا,النَّارُ,أَيَّامَاً,HARF,HARF,,Certificate,False,MASAQ:106
2,80,21,مَا,ما,اللَّهِ,لَا,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,83,8,إِلَّا,إلا,تَعْبُدُونَ,اللَّهَ,HARF,HARF,,Certificate,False,MASAQ:106
2,83,25,إِلَّا,إلا,تَوَلَّيْتُمْ,قَلِيلَاً,HARF,HARF,,Certificate,False,MASAQ:106
2,84,10,مِنْ,من,أَنْفُسَكُمْ,دِيَارِكُمْ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,85,9,مِنْ,من,مِنْكُمْ,دِيَارِهِمْ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,85,30,مَنْ,من,جَزَاءُ,يَفْعَلُ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#3
2,85,34,إِلَّا,إلا,مِنْكُمْ,خِزْيٌ,HARF,HARF,,Certificate,False,MASAQ:106
2,87,6,مِنْ,من,وَقَفَّيْنَا,بَعْدِهِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,87,20,بِمَا,بما,رَسُولٌ,لَا,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,True,MASAQ:48
2,89,4,مِنْ,من,كِتَابٌ,عِنْدِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,89,11,مِنْ,من,وَكَانُوا,قَبْلُ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,89,19,مَا,ما,جَاءَهُمْ,عَرَفُوا,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,90,5,أَنْ,أن,أَنْفُسَهُمْ,يَكْفُرُوا,HARF,HARF,HARF,Certificate,False,registry:plain:02_mabniyat/present_naseb_tools.json#1
2,90,7,بِمَا,بما,يَكْفُرُوا,أَنْزَلَ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,True,MASAQ:48
2,90,11,أَنْ,أن,بَغْيَاً,يُنَزِّلَ,HARF,HARF,HARF,Certificate,False,registry:plain:02_mabniyat/present_naseb_tools.json#1
2,90,14,مِنْ,من,اللَّهُ,فَضْلِهِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,90,17,مَنْ,من,عَلَى,يَشَاءُ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#3
2,90,19,مِنْ,من,يَشَاءُ,عِبَادِهِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,91,5,بِمَا,بما,آمِنُوا,أَنْزَلَ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,True,MASAQ:48
2,91,10,بِمَا,بما,نُؤْمِنُ,أُنْزِلَ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,True,MASAQ:48
2,91,14,بِمَا,بما,وَيَكْفُرُونَ,وَرَاءَهُ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,True,MASAQ:48
2,91,26,مِنْ,من,اللَّهِ,قَبْلُ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,91,28,إِنْ,إن,قَبْلُ,كُنْتُمْ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/conditional_letters_tools.json#1
2,92,8,مِنْ,من,الْعِجْلَ,بَعْدِهِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,93,8,مَا,ما,خُذُوا,آتَيْنَاكُمْ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,93,25,إِنْ,إن,إِيمَانُكُمْ,كُنْتُمْ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/conditional_letters_tools.json#1
2,94,2,إِنْ,إن,قُلْ,كَانَتْ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/conditional_letters_tools.json#1
2,94,10,مِنْ,من,خَالِصَةً,دُونِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,94,11,دُونِ,دون,مِنْ,النَّاسِ,ISM_MUARAB,ISM_MUARAB,,Certificate,False,MASAQ:310
2,94,15,إِنْ,إن,الْمَوْتَ,كُنْتُمْ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/conditional_letters_tools.json#1
2,95,4,بِمَا,بما,أَبَدَاً,قَدَّمَتْ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,True,MASAQ:48
2,96,18,مِنَ,من,بِمُزَحْزِحِهِ,الْعَذَابِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#32
2,96,20,أَنْ,أن,الْعَذَابِ,يُعَمَّرَ,HARF,HARF,HARF,Certificate,False,registry:plain:02_mabniyat/present_naseb_tools.json#1
2,96,24,بِمَا,بما,بَصِيرٌ,يَعْمَلُونَ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,True,MASAQ:48
2,97,2,مَنْ,من,قُلْ,كَانَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#3
2,98,1,مَنْ,من,,كَانَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#3
2,99,9,إِلَّا,إلا,بِهَا,الْفَاسِقُونَ,HARF,HARF,,Certificate,False,MASAQ:106
2,101,4,مِنْ,من,رَسُولٌ,عِنْدِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,101,12,مِنَ,من,فَرِيقٌ,الَّذِينَ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#32
2,102,2,مَا,ما,وَاتَّبَعُوا,تَتْلُو,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,102,26,مِنْ,من,يُعَلِّمَانِ,أَحَدٍ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,102,28,حَتَّى,حتى,أَحَدٍ,يَقُولَا,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/preposition_meanings.json#48
2,102,37,مَا,ما,مِنْهُمَا,يُفَرِّقُونَ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,102,47,مِنْ,من,بِهِ,أَحَدٍ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,102,49,إِلَّا,إلا,أَحَدٍ,بِإِذْنِ,HARF,HARF,,Certificate,False,MASAQ:106
2,102,53,مَا,ما,وَيَتَعَلَّمُونَ,يَضُرُّهُمْ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,102,61,مَا,ما,اشْتَرَاهُ,لَهُ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,102,65,مِنْ,من,الْآخِرَةِ,خَلَاقٍ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,102,68,مَا,ما,وَلَبِئْسَ,شَرَوْا,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,103,6,مِنْ,من,لَمَثُوبَةٌ,عِنْدِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,105,1,مَا,ما,,يَوَدُّ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,105,5,مِنْ,من,كَفَرُوا,أَهْلِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,105,10,أَنْ,أن,الْمُشْرِكِينَ,يُنَزَّلَ,HARF,HARF,HARF,Certificate,False,registry:plain:02_mabniyat/present_naseb_tools.json#1
2,105,13,مِنْ,من,عَلَيْكُمْ,خَيْرٍ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,105,15,مِنْ,من,خَيْرٍ,رَبِّكُمْ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,105,20,مَنْ,من,بِرَحْمَتِهِ,يَشَاءُ,ISM_MAWSOOL,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#3
2,106,1,مَا,ما,,نَنْسَخْ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/relative_pronouns.json#13
2,106,3,مِنْ,من,نَنْسَخْ,آيَةٍ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,106,14,أَنَّ,أن,تَعْلَمْ,اللَّهَ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/copulative_particle.json#2
2,107,3,أَنَّ,أن,تَعْلَمْ,اللَّهَ,HARF,HARF,HARF,Certificate,False,registry:exact:02_mabniyat/copulative_particle.json#2
2,107,11,مِنْ,من,لَكُمْ,دُونِ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,107,12,دُونِ,دون,مِنْ,اللَّهِ,ISM_MUARAB,ISM_MUARAB,,Certificate,False,MASAQ:310
2,107,14,مِنْ,من,اللَّهِ,وَلِيٍّ,HARF,HARF,HARF,Hypothesis,True,registry-exact-hypothesis:exact:02_mabniyat/preposition_meanings.json#34
2,108,3,أَنْ,أن,تُرِيدُونَ,تَسْأَلُوا,HARF,HARF,HARF,Certificate,False,registry:plain:02_mabniyat/present_naseb_tools.json#1
