surah,ayah,token_index,surface,plain,prev,next,gold_class,pred_class,candidates,certainty,source,proof_kind,error_family
2,84,12,ثُمَّ,ثم,دِيَارِكُمْ,أَقْرَرْتُمْ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,85,1,ثُمَّ,ثم,,أَنْتُمْ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,85,45,وَمَا,وما,الْعَذَابِ,اللَّهُ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,92,5,ثُمَّ,ثم,بِالْبَيِّنَاتِ,اتَّخَذْتُمُ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,96,15,وَمَا,وما,سَنَةٍ,هُوَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,97,2,مَنْ,من,قُلْ,كَانَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/relative_pronoun,Hypothesis,harf_vs_mawsool
2,98,1,مَنْ,من,,كَانَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/relative_pronoun,Hypothesis,harf_vs_mawsool
2,99,6,وَمَا,وما,بَيِّنَاتٍ,يَكْفُرُ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,102,8,وَمَا,وما,سُلَيْمَانَ,كَفَرَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,102,17,وَمَا,وما,السِّحْرَ,أُنْزِلَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,102,24,وَمَا,وما,وَمَارُوتَ,يُعَلِّمَانِ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,102,43,وَمَا,وما,وَزَوْجِهِ,هُمْ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,102,61,مَا,ما,اشْتَرَاهُ,لَهُ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/relative_pronoun,Hypothesis,harf_vs_mawsool
2,105,1,مَا,ما,,يَوَدُّ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/relative_pronoun,Hypothesis,harf_vs_mawsool
2,106,1,مَا,ما,,نَنْسَخْ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/relative_pronoun,Hypothesis,harf_vs_mawsool
2,107,9,وَمَا,وما,وَالْأَرْضِ,لَكُمْ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,112,2,مَنْ,من,بَلَى,أَسْلَمَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/relative_pronoun,Hypothesis,harf_vs_mawsool
2,114,1,وَمَنْ,ومن,,أَظْلَمُ,ISM_MAWSOOL,HARF,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:1895,Certificate,ISM_MAWSOOL_to_HARF
2,114,15,مَا,ما,أُولَئِكَ,كَانَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/relative_pronoun,Hypothesis,harf_vs_mawsool
2,118,20,قَدْ,قد,قُلُوبُهُمْ,بَيَّنَّا,HARF,ISM_MABNI,ISM_MABNI|FIIL,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/verb_name.json#9,Hypothesis,harf_vs_mabni
2,120,24,مَا,ما,الْعِلْمِ,لَكَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/relative_pronoun,Hypothesis,harf_vs_mawsool
2,126,4,رَبِّ,رب,إِبْرَاهِيمُ,اجْعَلْ,ISM_MUARAB,HARF,HARF,Certificate,registry:plain:02_mabniyat/preposition_meanings.json#40,Certificate,ISM_MUARAB_to_HARF
2,126,24,ثُمَّ,ثم,قَلِيلَاً,أَضْطَرُّهُ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,131,1,إِذْ,إذ,,قَالَ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#13,Certificate,harf_vs_mabni
2,133,4,إِذْ,إذ,شُهَدَاءَ,حَضَرَ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#13,Certificate,harf_vs_mabni
2,133,8,إِذْ,إذ,الْمَوْتُ,قَالَ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#13,Certificate,harf_vs_mabni
2,134,3,قَدْ,قد,أُمَّةٌ,خَلَتْ,HARF,ISM_MABNI,ISM_MABNI|FIIL,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/verb_name.json#9,Hypothesis,harf_vs_mabni
2,140,15,أَعْلَمُ,أعلم,أَأَنْتُمْ,أَمِ,ISM_MUARAB,FIIL,,Certificate,MASAQ:477,Certificate,noun_misread_as_verb
2,140,18,وَمَنْ,ومن,اللَّهُ,أَظْلَمُ,ISM_MAWSOOL,HARF,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:1895,Certificate,ISM_MAWSOOL_to_HARF
2,140,26,وَمَا,وما,اللَّهِ,اللَّهُ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,141,3,قَدْ,قد,أُمَّةٌ,خَلَتْ,HARF,ISM_MABNI,ISM_MABNI|FIIL,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/verb_name.json#9,Hypothesis,harf_vs_mabni
2,142,17,مَنْ,من,يَهْدِي,يَشَاءُ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/relative_pronoun,Hypothesis,harf_vs_mawsool
2,143,13,وَمَا,وما,شَهِيدَاً,جَعَلْنَا,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,143,21,مَنْ,من,لِنَعْلَمَ,يَتَّبِعُ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/relative_pronoun,Hypothesis,harf_vs_mawsool
2,143,36,وَمَا,وما,اللَّهُ,كَانَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,144,1,قَدْ,قد,,نَرَى,HARF,ISM_MABNI,ISM_MABNI|FIIL,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/verb_name.json#9,Hypothesis,harf_vs_mabni
2,144,30,وَمَا,وما,رَبِّهِمْ,اللَّهُ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,145,8,مَا,ما,آيَةٍ,تَبِعُوا,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/relative_pronoun,Hypothesis,harf_vs_mawsool
2,145,11,وَمَا,وما,قِبْلَتَكَ,أَنْتَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,145,15,وَمَا,وما,قِبْلَتَهُمْ,بَعْضُهُمْ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,145,30,إِذَاً,إذا,إِنَّكَ,لَمِنَ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:plain:02_mabniyat/built_in_adverbs.json#21,Certificate,harf_vs_mabni
2,149,2,حَيْثُ,حيث,وَمِنْ,خَرَجْتَ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#1,Certificate,harf_vs_mabni
2,149,13,وَمَا,وما,رَبِّكَ,اللَّهُ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,150,2,حَيْثُ,حيث,وَمِنْ,خَرَجْتَ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#1,Certificate,harf_vs_mabni
2,156,2,إِذَا,إذا,الَّذِينَ,أَصَابَتْهُمْ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#21,Certificate,harf_vs_mabni
2,164,17,وَمَا,وما,النَّاسَ,أَنْزَلَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,165,21,إِذْ,إذ,ظَلَمُوا,يَرَوْنَ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#13,Certificate,harf_vs_mabni
2,166,1,إِذْ,إذ,,تَبَرَّأَ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#13,Certificate,harf_vs_mabni
2,167,19,وَمَا,وما,عَلَيْهِمْ,هُمْ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,177,38,إِذَا,إذا,بِعَهْدِهِمْ,عَاهَدُوا,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#21,Certificate,harf_vs_mabni
2,180,3,إِذَا,إذا,عَلَيْكُمْ,حَضَرَ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#21,Certificate,harf_vs_mabni
2,186,10,إِذَا,إذا,الدَّاعِ,دَعَانِ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#21,Certificate,harf_vs_mabni
2,187,43,ثُمَّ,ثم,الْفَجْرِ,أَتِمُّوا,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,191,2,حَيْثُ,حيث,وَاقْتُلُوهُمْ,ثَقِفْتُمُوهُمْ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#1,Certificate,harf_vs_mabni
2,191,6,حَيْثُ,حيث,مِنْ,أَخْرَجُوكُمْ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#1,Certificate,harf_vs_mabni
2,196,54,إِذَا,إذا,وَسَبْعَةٍ,رَجَعْتُمْ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#21,Certificate,harf_vs_mabni
2,199,1,ثُمَّ,ثم,,أَفِيضُوا,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,199,4,حَيْثُ,حيث,مِنْ,أَفَاضَ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#1,Certificate,harf_vs_mabni
2,200,19,وَمَا,وما,الدُّنْيَا,لَهُ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,213,20,وَمَا,وما,فِيهِ,اخْتَلَفَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,215,2,مَاذَا,ماذا,يَسْأَلُونَكَ,يُنْفِقُونَ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:plain:02_mabniyat/interrogative_tools_categories.js,Certificate,harf_vs_mabni
2,215,5,مَا,ما,قُلْ,أَنْفَقْتُمْ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/relative_pronoun,Hypothesis,harf_vs_mawsool
2,219,16,مَاذَا,ماذا,وَيَسْأَلُونَكَ,يُنْفِقُونَ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:plain:02_mabniyat/interrogative_tools_categories.js,Certificate,harf_vs_mabni
2,222,19,حَيْثُ,حيث,مِنْ,أَمَرَكُمُ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#1,Certificate,harf_vs_mabni
2,223,6,أَنَّى,أنى,حَرْثَكُمْ,شِئْتُمْ,HARF,ISM_MABNI,ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/conditional_lett,Hypothesis,harf_vs_mabni
2,232,11,إِذَا,إذا,أَزْوَاجَهُنَّ,تَرَاضَوْا,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#21,Certificate,harf_vs_mabni
2,233,52,إِذَا,إذا,عَلَيْكُمْ,سَلَّمْتُمْ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#21,Certificate,harf_vs_mabni
2,243,16,ثُمَّ,ثم,مُوتُوا,أَحْيَاهُمْ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,245,1,مَنْ,من,,ذَا,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/relative_pronoun,Hypothesis,harf_vs_mawsool
2,246,11,إِذْ,إذ,مُوسَى,قَالُوا,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#13,Certificate,harf_vs_mabni
2,246,32,وَمَا,وما,قَالُوا,لَنَا,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,247,6,قَدْ,قد,اللَّهَ,بَعَثَ,HARF,ISM_MABNI,ISM_MABNI|FIIL,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/verb_name.json#9,Hypothesis,harf_vs_mabni
2,247,12,أَنَّى,أنى,قَالُوا,يَكُونُ,HARF,ISM_MABNI,ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/conditional_lett,Hypothesis,harf_vs_mabni
2,252,5,عَلَيْكَ,عليك,نَتْلُوهَا,بِالْحَقِّ,HARF,ISM_MABNI,ISM_MABNI|FIIL,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/verb_name.json#8,Hypothesis,harf_vs_mabni
2,253,25,مَا,ما,اللَّهُ,اقْتَتَلَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/relative_pronoun,Hypothesis,harf_vs_mawsool
2,253,46,مَا,ما,اللَّهُ,اقْتَتَلُوا,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/relative_pronoun,Hypothesis,harf_vs_mawsool
2,255,20,مَنْ,من,الْأَرْضِ,ذَا,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/relative_pronoun,Hypothesis,harf_vs_mawsool
2,256,5,قَدْ,قد,الدِّينِ,تَبَيَّنَ,HARF,ISM_MABNI,ISM_MABNI|FIIL,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/verb_name.json#9,Hypothesis,harf_vs_mabni
2,258,13,إِذْ,إذ,الْمُلْكَ,قَالَ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#13,Certificate,harf_vs_mabni
2,259,11,أَنَّى,أنى,قَالَ,يُحْيِي,HARF,ISM_MABNI,ISM_MABNI|HARF,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/conditional_lett,Hypothesis,harf_vs_mabni
2,259,21,ثُمَّ,ثم,عَامٍ,بَعَثَهُ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,259,54,ثُمَّ,ثم,نُنْشِزُهَا,نَكْسُوهَا,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,260,4,رَبِّ,رب,إِبْرَاهِيمُ,أَرِنِي,ISM_MUARAB,HARF,HARF,Certificate,registry:plain:02_mabniyat/preposition_meanings.json#40,Certificate,ISM_MUARAB_to_HARF
2,260,24,ثُمَّ,ثم,إِلَيْكَ,اجْعَلْ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,260,31,ثُمَّ,ثم,جُزْءَاً,ادْعُهُنَّ,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,262,7,ثُمَّ,ثم,اللَّهِ,لَا,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,269,12,وَمَا,وما,كَثِيرَاً,يَذَّكَّرُ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,270,1,وَمَا,وما,,أَنْفَقْتُمْ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,270,12,وَمَا,وما,يَعْلَمُهُ,لِلظَّالِمِينَ,HARF,ISM_MAWSOOL,ISM_MAWSOOL|ISM_MABNI|HARF,Certificate,MASAQ:51,Certificate,harf_vs_mawsool
2,272,2,عَلَيْكَ,عليك,لَيْسَ,هُدَاهُمْ,HARF,ISM_MABNI,ISM_MABNI|FIIL,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/verb_name.json#8,Hypothesis,harf_vs_mabni
2,281,7,ثُمَّ,ثم,اللَّهِ,تُوَفَّى,HARF,ISM_MABNI,ISM_MABNI,Hypothesis,registry-exact-hypothesis:exact:02_mabniyat/built_in_adverbs,Hypothesis,harf_vs_mabni
2,282,4,إِذَا,إذا,آمَنُوا,تَدَايَنْتُمْ,HARF,ISM_MABNI,ISM_MABNI,Certificate,registry:exact:02_mabniyat/built_in_adverbs.json#21,Certificate,harf_vs_mabni
2,282,8,أَجَلٍ,أجل,إِلَى,مُسَمَّىً,ISM_MUARAB,HARF,HARF,Certificate,registry:plain:02_mabniyat/letters_answers.json#3,Certificate,ISM_MUARAB_to_HARF
