sura,verse,word_no,word,truth_root,category,v2_top1_wazn,v2_top1_root,v2_top1_conf,v2_top3_roots,top1_ok,top3_ok
2,5,2,عَلَى,علي,weak,فَعل,على,1.000,على | علو | على,yes,yes
2,5,3,هُدَىً,,no_truth,فُعَل,هدي,1.000,هدي | هدي | هدي,,
2,5,4,مِنْ,,no_truth,,,0.000,,,
2,5,5,رَبِّهِمْ,,no_truth,فَعْل,ربب,0.931,ربب | ربب | ربب,,
2,5,6,وَأُولَئِكَ,ءلي,weak,فُعلُل,ءولء,0.796,ءولء | لءي | لءي,no,no
2,5,7,هُمُ,هم,other,,,0.000,,no,no
2,5,8,الْمُفْلِحُونَ,فلح,sound,مُفْعِل,فلح,0.851,فلح | فلح | فلح,yes,yes
2,6,1,إِنَّ,ءن,other,فِعْل,ءنن,0.846,ءنن | ءنن | ءنن,no,no
2,6,2,الَّذِينَ,ءلل,geminate_sound,الَّذِينَ,الذين,1.000,الذين,,
2,6,3,كَفَرُوا,كفر,sound,فَعُول,فري,1.000,فري | فري | وفر,no,no
2,6,4,سَوَاءٌ,سوي,weak,فَعَال,سوء,1.000,سوء | سوء | سوء,no,no
2,6,5,عَلَيْهِمْ,,no_truth,فَعَل,علو,0.956,علو | علو | علو,,
2,6,6,أَأَنْذَرْتَهُمْ,,no_truth,ءَأَفعَلْت,نذر,0.652,نذر,,
2,6,7,أَمْ,,no_truth,,,0.000,,,
2,6,8,لَمْ,,no_truth,,,0.000,,,
2,6,9,تُنْذِرْهُمْ,,no_truth,تُفْعِل,نذر,0.957,نذر | نذر | نذر,,
2,6,10,لَا,,no_truth,,,0.000,,,
2,6,11,يُؤْمِنُونَ,,no_truth,يُفْعِلُ,ءمن,0.931,ءمن | ءمن | ءمن,,
2,7,1,خَتَمَ,ختم,sound,فَعَل,ختم,1.000,ختم | ختم | ختم,yes,yes
2,7,2,اللَّهُ,ءله,hamza_sound,اللَّهُ,ءله,1.000,ءله,yes,yes
2,7,3,عَلَى,علي,weak,فَعل,على,1.000,على | علو | على,yes,yes
2,7,4,قُلُوبِهِمْ,,no_truth,فُعُول,قلب,0.957,قلب | قلب | قلب,,
2,7,5,وَعَلَى,علي,weak,فَعْلَى,وعل,1.000,وعل | على | علو,no,yes
2,7,6,سَمْعِهِمْ,,no_truth,فَعْل,سمع,0.931,سمع | سمع | سمع,,
2,7,7,وَعَلَى,علي,weak,فَعْلَى,وعل,1.000,وعل | على | علو,no,yes
2,7,8,أَبْصَارِهِمْ,,no_truth,أَفْعَال,بصر,0.973,بصر | بصر | بصر,,
2,7,9,غِشَاوَةٌ,غشو,weak,فَعَالَة,غشو,1.000,غشو | غشي | غشو,yes,yes
2,7,10,وَلَهُمْ,,no_truth,فَعُل,لهم,0.931,لهم | لهم | لهم,,
2,7,11,عَذَابٌ,عذب,sound,فَعَال,عذب,1.000,عذب | عذب | عذب,yes,yes
2,7,12,عَظِيمٌ,عظم,sound,فَعِيل,عظم,1.000,عظم | عظم | عظم,yes,yes
2,8,1,وَمِنَ,م,other,فَعِلَ,ومن,1.000,ومن | مون | مين,no,no
2,8,2,النَّاسِ,نوس,weak,فَعل,نوس,0.956,نوس | نسو | نسي,yes,yes
2,8,3,مَنْ,,no_truth,,,0.000,,,
2,8,4,يَقُولُ,قول,weak,فَعُول,قيل,1.000,قيل | قول | قلي,no,yes
2,8,5,آمَنَّا,,no_truth,فَاعَل,ءمن,0.957,ءمن | ءيم | ءيم,,
2,8,6,بِاللَّهِ,ءله,hamza_sound,بِاللَّهِ,ءله,1.000,ءله,yes,yes
2,8,7,وَبِالْيَوْمِ,يوم,weak,,,0.000,,no,no
2,8,8,الْآخِرِ,,no_truth,فَاعِل,ءخر,0.957,ءخر | خور | خير,,
2,8,9,وَمَا,ما,other,فَعَل,وما,1.000,وما | وما | وما,no,no
2,8,10,هُمْ,,no_truth,,,0.000,,,
2,8,11,بِمُؤْمِنِينَ,,no_truth,مُفْعِل,ءمن,0.851,ءمن | ءمن | ءمن,,
2,9,1,يُخَادِعُونَ,خدع,sound,فُعَالِل,يخدع,0.761,يخدع | يخدع | خدع,no,yes
2,9,2,اللَّهَ,ءله,hamza_sound,اللَّهَ,ءله,1.000,ءله,yes,yes
2,9,3,وَالَّذِينَ,ءلل,geminate_sound,وَالَّذِينَ,والذين,1.000,والذين,,
2,9,4,آمَنُوا,,no_truth,فَاعَلُو,ءمن,0.724,ءمن | مون | مين,,
2,9,5,وَمَا,ما,other,فَعَل,وما,1.000,وما | وما | وما,no,no
2,9,6,يَخْدَعُونَ,خدع,sound,يَفْعَلُ,خدع,0.931,خدع | خدع | خدع,yes,yes
2,9,7,إِلَّا,,no_truth,فَعَل,ءلو,1.000,ءلو | ءلي | ءلو,,
2,9,8,أَنْفُسَهُمْ,,no_truth,أَفْعُل,نفس,0.957,نفس | نفس | نفس,,
2,9,9,وَمَا,ما,other,فَعَل,وما,1.000,وما | وما | وما,no,no
2,9,10,يَشْعُرُونَ,شعر,sound,يَفْعُلُ,شعر,0.931,شعر | شعر | شعر,yes,yes
2,10,1,فِي,في,other,,,0.000,,no,no
2,10,2,قُلُوبِهِمْ,,no_truth,فُعُول,قلب,0.957,قلب | قلب | قلب,,
2,10,3,مَرَضٌ,مرض,sound,فَعَل,مرض,1.000,مرض | مرض | مرض,yes,yes
2,10,4,فَزَادَهُمُ,زيد,weak,فَعل,زود,0.850,زود | زيد | زود,no,yes
2,10,5,اللَّهُ,ءله,hamza_sound,اللَّهُ,ءله,1.000,ءله,yes,yes
2,10,6,مَرَضَاً,,no_truth,مَفعَل,رضو,1.000,رضو | رضي | رضو,,
2,10,7,وَلَهُمْ,,no_truth,فَعُل,لهم,0.931,لهم | لهم | لهم,,
2,10,8,عَذَابٌ,عذب,sound,فَعَال,عذب,1.000,عذب | عذب | عذب,yes,yes
2,10,9,أَلِيمٌ,ءلم,hamza_sound,فَعِيل,ءلم,1.000,ءلم | لوم | لمي,yes,yes
2,10,10,بِمَا,ما,other,فِعَل,بما,1.000,بما | بما | بما,no,no
2,10,11,كَانُوا,كون,weak,فَاعُول,كنا,1.000,كنا | كنو | كني,no,no
2,10,12,يَكْذِبُونَ,كذب,sound,يَفْعِلُ,كذب,0.931,كذب | كذب | كذب,yes,yes
2,11,1,وَإِذَا,ءذ,other,فَأَعل,وذي,1.000,وذي | ءذي | ءذي,no,no
2,11,2,قِيلَ,قول,weak,فِعل,قيل,1.000,قيل | قول | وقل,no,yes
2,11,3,لَهُمْ,,no_truth,فَعُل,لهم,1.000,لهم | لهم | لهم,,
2,11,4,لَا,,no_truth,,,0.000,,,
2,11,5,تُفْسِدُوا,فسد,sound,تُفْعِلُو,فسد,0.724,فسد | فسدا | فسد,yes,yes
2,11,6,فِي,في,other,,,0.000,,no,no
2,11,7,الْأَرْضِ,,no_truth,فَعْل,ءرض,0.931,ءرض | ءرض | ءرض,,
2,11,8,قَالُوا,قول,weak,فَاعُول,قلا,1.000,قلا | قلو | قلي,no,no
2,11,9,إِنَّمَا,ءن,other,فَعَل,نمو,1.000,نمو | نمي | نمو,no,no
2,11,10,نَحْنُ,نحن,sound,فَعْل,نحن,1.000,نحن | نحن | نحن,yes,yes
2,11,11,مُصْلِحُونَ,صلح,sound,مُفْعِل,صلح,0.957,صلح | صلح | صلح,yes,yes
2,12,1,أَلَا,,no_truth,فَعل,ءلو,1.000,ءلو | ءلي | ءلا,,
2,12,2,إِنَّهُمْ,,no_truth,فَعُل,نهم,0.911,نهم | نهم | نهم,,
2,12,3,هُمُ,هم,other,,,0.000,,no,no
2,12,4,الْمُفْسِدُونَ,فسد,sound,مُفْعِل,فسد,0.851,فسد | فسد | فسد,yes,yes
2,12,5,وَلَكِنْ,,no_truth,فَعِل,لكن,0.931,لكن | لكن | لكن,,
2,12,6,لَا,,no_truth,,,0.000,,,
2,12,7,يَشْعُرُونَ,شعر,sound,يَفْعُلُ,شعر,0.931,شعر | شعر | شعر,yes,yes
2,13,1,وَإِذَا,ءذ,other,فَأَعل,وذي,1.000,وذي | ءذي | ءذي,no,no
2,13,2,قِيلَ,قول,weak,فِعل,قيل,1.000,قيل | قول | وقل,no,yes
2,13,3,لَهُمْ,,no_truth,فَعُل,لهم,1.000,لهم | لهم | لهم,,
2,13,4,آمِنُوا,,no_truth,فَاعِلُو,ءمن,0.724,ءمن | مون | مين,,
2,13,5,كَمَا,كما,weak,فَعل,كما,1.000,كما | كمي | كما,yes,yes
2,13,6,آمَنَ,,no_truth,فَاعَل,ءمن,1.000,ءمن | مون | مين,,
2,13,7,النَّاسُ,نوس,weak,فَعل,نوس,0.956,نوس | نسو | نسي,yes,yes
2,13,8,قَالُوا,قول,weak,فَاعُول,قلا,1.000,قلا | قلو | قلي,no,no
2,13,9,أَنُؤْمِنُ,ءمن,hamza_sound,نُفْعِلُ,ءمن,0.911,ءمن | ءمن | ءمن,yes,yes
2,13,10,كَمَا,كما,weak,فَعل,كما,1.000,كما | كمي | كما,yes,yes
2,13,11,آمَنَ,,no_truth,فَاعَل,ءمن,1.000,ءمن | مون | مين,,
2,13,12,السُّفَهَاءُ,سفه,sound,فُعَلَاء,سفه,0.973,سفه | سفه | سفه,yes,yes
2,13,13,أَلَا,,no_truth,فَعل,ءلو,1.000,ءلو | ءلي | ءلا,,
2,13,14,إِنَّهُمْ,,no_truth,فَعُل,نهم,0.911,نهم | نهم | نهم,,
2,13,15,هُمُ,هم,other,,,0.000,,no,no
2,13,16,السُّفَهَاءُ,سفه,sound,فُعَلَاء,سفه,0.973,سفه | سفه | سفه,yes,yes
2,13,17,وَلَكِنْ,,no_truth,فَعِل,لكن,0.931,لكن | لكن | لكن,,
2,13,18,لَا,,no_truth,,,0.000,,,
2,13,19,يَعْلَمُونَ,علم,sound,يَفْعَلُ,علم,0.931,علم | علم | علم,yes,yes
2,14,1,وَإِذَا,ءذ,other,فَأَعل,وذي,1.000,وذي | ءذي | ءذي,no,no
2,14,2,لَقُوا,لقي,weak,فَعُول,لقا,1.000,لقا | لقو | لقي,no,yes
2,14,3,الَّذِينَ,ءلل,geminate_sound,الَّذِينَ,الذين,1.000,الذين,,
2,14,4,آمَنُوا,,no_truth,فَاعَلُو,ءمن,0.724,ءمن | مون | مين,,
2,14,5,قَالُوا,قول,weak,فَاعُول,قلا,1.000,قلا | قلو | قلي,no,no
2,14,6,آمَنَّا,,no_truth,فَاعَل,ءمن,0.957,ءمن | ءيم | ءيم,,
2,14,7,وَإِذَا,ءذ,other,فَأَعل,وذي,1.000,وذي | ءذي | ءذي,no,no
2,14,8,خَلَوْا,خلو,weak,فَعُول,خلو,1.000,خلو | خلي | خلو,yes,yes
2,14,9,إِلَى,ءلي,weak,فَعَل,ءلى,1.000,ءلى | ءلي | ءلو,yes,yes
2,14,10,شَيَاطِينِهِمْ,,no_truth,فَعَالِيل,شيطن,0.769,شيطن | شطن,,
2,14,11,قَالُوا,قول,weak,فَاعُول,قلا,1.000,قلا | قلو | قلي,no,no
2,14,12,إِنَّا,ءن,other,فَعَل,ءنا,1.000,ءنا | ءني | ءنا,no,no
2,14,13,مَعَكُمْ,,no_truth,مَفَعْل,عكم,0.850,عكم | عكم | عكم,,
2,14,14,إِنَّمَا,ءن,other,فَعَل,نمو,1.000,نمو | نمي | نمو,no,no
2,14,15,نَحْنُ,نحن,sound,فَعْل,نحن,1.000,نحن | نحن | نحن,yes,yes
2,14,16,مُسْتَهْزِئُونَ,,no_truth,مُسْتَفْعِل,هزء,0.983,هزء | هزء | هزء,,
2,15,1,اللَّهُ,ءله,hamza_sound,اللَّهُ,ءله,1.000,ءله,yes,yes
2,15,2,يَسْتَهْزِئُ,هزء,hamza_sound,يَسْتَفْعِلُ,هزء,1.000,هزء | هزء | هزء,yes,yes
2,15,3,بِهِمْ,,no_truth,فِعِل,بهم,1.000,بهم | بهم | بهم,,
2,15,4,وَيَمُدُّهُمْ,,no_truth,فَعُل,ميد,0.792,ميد | ميد | يمد,,
2,15,5,فِي,في,other,,,0.000,,no,no
2,15,6,طُغْيَانِهِمْ,,no_truth,فَعْلَان,طغو,0.935,طغو | طغو | طغي,,
2,15,7,يَعْمَهُونَ,عمه,sound,يَفْعَلُ,عمه,0.931,عمه | عوم | عمي,yes,yes
2,16,1,أُولَئِكَ,ءلي,weak,أَفعَل,لءي,0.842,لءي | لءي | لءي,no,no
2,16,2,الَّذِينَ,ءلل,geminate_sound,الَّذِينَ,الذين,1.000,الذين,,
2,16,3,اشْتَرَوْا,شري,weak,افْتَعَل,شري,0.699,شري | شري | شري,yes,yes
2,16,4,الضَّلَالَةَ,,no_truth,فَعَالَة,ضلل,0.973,ضلل | ضلل | ضلل,,
2,16,5,بِالْهُدَى,هدي,weak,فُعَل,هدي,1.000,هدي | هدي | هدي,yes,yes
2,16,6,فَمَا,ما,other,فَعَل,فما,1.000,فما | فوم | فما,no,no
2,16,7,رَبِحَتْ,,no_truth,فَعْلَل,ربحت,0.765,ربحت | ربح | ربح,,
2,16,8,تِجَارَتُهُمْ,,no_truth,تَفَاعَل,جرت,0.792,جرت | جرت | جرت,,
2,16,9,وَمَا,ما,other,فَعَل,وما,1.000,وما | وما | وما,no,no
2,16,10,كَانُوا,كون,weak,فَاعُول,كنا,1.000,كنا | كنو | كني,no,no
2,16,11,مُهْتَدِينَ,هدي,weak,مُفْعَل,هتد,0.832,هتد | هتد | هتد,no,no
2,17,1,مَثَلُهُمْ,,no_truth,فَعَل,مثل,0.931,مثل | مثل | مثل,,
2,17,2,كَمَثَلِ,مثل,sound,فَعَل,مثل,0.931,مثل | مثل | مثل,yes,yes
2,17,3,الَّذِي,ءلل,geminate_sound,الَّذِي,الذي,1.000,الذي,,
2,17,4,اسْتَوْقَدَ,وقد,weak,اسْتَفْعَل,وقد,0.983,وقد | قود | قيد,yes,yes
2,17,5,نَارَاً,,no_truth,فَاعَل,نور,1.000,نور | نير | نور,,
2,17,6,فَلَمَّا,لم,other,فَعَل,لمو,1.000,لمو | لمي | لمو,no,no
2,17,7,أَضَاءَتْ,,no_truth,فَاعَل,ضءت,0.814,ضءت | ءضت | ءضءت,,
2,17,8,مَا,ما,other,,,0.000,,no,no
2,17,9,حَوْلَهُ,حول,weak,فَعْلَة,حول,1.000,حول | حول | حول,yes,yes
2,17,10,ذَهَبَ,ذهب,sound,ذَهَبَ,N/A,1.000,N/A,,
2,17,11,اللَّهُ,ءله,hamza_sound,اللَّهُ,ءله,1.000,ءله,yes,yes
2,17,12,بِنُورِهِمْ,,no_truth,فُعل,نير,0.850,نير | نور | بنر,,
2,17,13,وَتَرَكَهُمْ,,no_truth,فَعَلَ,ترك,0.920,ترك | ترك | ترك,,
2,17,14,فِي,في,other,,,0.000,,no,no
2,17,15,ظُلُمَاتٍ,ظلم,sound,فَعُلَ,ظلم,0.931,ظلم | ظلم | ظلم,yes,yes
2,17,16,لَا,,no_truth,,,0.000,,,
2,17,17,يُبْصِرُونَ,بصر,sound,يُفْعِلُ,بصر,0.931,بصر | بصر | بصر,yes,yes
2,18,1,صُمٌّ,صمم,geminate_sound,فُعْل,صمم,0.973,صمم | صمم | صمم,yes,yes
2,18,2,بُكْمٌ,بكم,sound,فُعْل,بكم,1.000,بكم | بكم | بكم,yes,yes
2,18,3,عُمْيٌ,عمي,weak,فُعْل,عمي,1.000,عمي | وعم | عوم,yes,yes
2,18,4,فَهُمْ,,no_truth,فَعُل,فهم,1.000,فهم | فهم | فهم,,
2,18,5,لَا,,no_truth,,,0.000,,,
2,18,6,يَرْجِعُونَ,رجع,sound,يَفْعِلُ,رجع,0.931,رجع | رجع | رجع,yes,yes
2,19,1,أَوْ,,no_truth,,,0.000,,,
2,19,2,كَصَيِّبٍ,صوب,weak,فَعِل,صوب,0.956,صوب | صوب | صوب,yes,yes
2,19,3,مِنَ,م,other,,,0.000,,no,no
2,19,4,السَّمَاءِ,سمو,weak,فَعَال,سمء,0.832,سمء | سمء | سمء,no,no
2,19,5,فِيهِ,في,other,فِعل,فوه,1.000,فوه | وفه | فهو,no,no
2,19,6,ظُلُمَاتٌ,ظلم,sound,فَعُلَ,ظلم,0.931,ظلم | ظلم | ظلم,yes,yes
2,19,7,وَرَعْدٌ,رعد,sound,فَعْل,رعد,0.931,رعد | رعد | رعد,yes,yes
2,19,8,وَبَرْقٌ,برق,sound,فَعْل,برق,0.931,برق | برق | برق,yes,yes
2,19,9,يَجْعَلُونَ,جعل,sound,يَفْعَلُ,جعل,0.931,جعل | جعل | جعل,yes,yes
2,19,10,أَصَابِعَهُمْ,,no_truth,أَفَاعِل,صبع,0.876,صبع | صبع | ءصبع,,
2,19,11,فِي,في,other,,,0.000,,no,no
2,19,12,آذَانِهِمْ,,no_truth,أَفعَال,ذين,0.931,ذين | ءذن | ءذي,,
2,19,13,مِنَ,م,other,,,0.000,,no,no
2,19,14,الصَّوَاعِقِ,صعق,sound,فَوَاعِل,صعق,0.876,صعق | صعق | صوعق,yes,yes
2,19,15,حَذَرَ,حذر,sound,فَعَل,حذر,1.000,حذر | حذر | حذر,yes,yes
2,19,16,الْمَوْتِ,موت,weak,فَعْل,موت,0.931,موت | متو | متي,yes,yes
2,19,17,وَاللَّهُ,ءله,hamza_sound,وَاللَّهُ,ءله,1.000,ءله,yes,yes
2,19,18,مُحِيطٌ,حوط,weak,مُفِعْل,حوط,1.000,حوط | محط | محط,yes,yes
2,19,19,بِالْكَافِرِينَ,كفر,sound,,,0.000,,no,no
2,20,1,يَكَادُ,كود,weak,فَعَال,كيد,1.000,كيد | كود | كدي,no,yes
2,20,2,الْبَرْقُ,برق,sound,فَعْل,برق,0.931,برق | برق | برق,yes,yes
2,20,3,يَخْطَفُ,خطف,sound,يَفْعَلُ,خطف,1.000,خطف | خطف | خطف,yes,yes
2,20,4,أَبْصَارَهُمْ,,no_truth,أَفْعَال,بصر,0.973,بصر | بصر | بصر,,
2,20,5,كُلَّمَا,كل,other,فَعَل,لمو,1.000,لمو | لمي | لمو,no,no
2,20,6,أَضَاءَ,ضوء,weak,أَفَعَل,ضوء,1.000,ضوء | ضوء | ضوء,yes,yes
2,20,7,لَهُمْ,,no_truth,فَعُل,لهم,1.000,لهم | لهم | لهم,,
2,20,8,مَشَوْا,مشي,weak,مَفعَل,شوي,1.000,شوي | شوي | شوا,no,no
2,20,9,فِيهِ,في,other,فِعل,فوه,1.000,فوه | وفه | فهو,no,no
2,20,10,وَإِذَا,ءذ,other,فَأَعل,وذي,1.000,وذي | ءذي | ءذي,no,no
2,20,11,أَظْلَمَ,ظلم,sound,أَفْعَل,ظلم,1.000,ظلم | ظلم | ظلم,yes,yes
2,20,12,عَلَيْهِمْ,,no_truth,فَعَل,علو,0.956,علو | علو | علو,,
2,20,13,قَامُوا,قوم,weak,فَاعُول,قما,1.000,قما | قمو | قمي,no,no
2,20,14,وَلَوْ,,no_truth,فَعَل,ولي,1.000,ولي | ولي | ولي,,
2,20,15,شَاءَ,شيء,weak,فَعل,شيء,1.000,شيء | شيء | شيء,yes,yes
2,20,16,اللَّهُ,ءله,hamza_sound,اللَّهُ,ءله,1.000,ءله,yes,yes
2,20,17,لَذَهَبَ,ذهب,sound,فَعَلَ,ذهب,1.000,ذهب | ذهب | ذهب,yes,yes
2,20,18,بِسَمْعِهِمْ,,no_truth,فَعْل,سمع,0.828,سمع | سمع | سمع,,
2,20,19,وَأَبْصَارِهِمْ,,no_truth,فَعْلَال,ءبصر,0.880,ءبصر | بصر | ءبصر,,
2,20,20,إِنَّ,ءن,other,فِعْل,ءنن,0.846,ءنن | ءنن | ءنن,no,no
2,20,21,اللَّهَ,ءله,hamza_sound,اللَّهَ,ءله,1.000,ءله,yes,yes
2,20,22,عَلَى,علي,weak,فَعل,على,1.000,على | علو | على,yes,yes
2,20,23,كُلِّ,كل,other,فُعْل,كلل,0.973,كلل | كلل | كلل,no,no
2,20,24,شَيْءٍ,شيء,weak,فَعْل,شيء,1.000,شيء | شيء | شيء,yes,yes
2,20,25,قَدِيرٌ,قدر,sound,فَعِيل,قدر,1.000,قدر | قدر | قدر,yes,yes
2,21,1,يَاأَيُّهَا,ءيي,weak,فَاعَل,يءي,0.832,يءي | يءي | يءي,no,no
2,21,2,النَّاسُ,نوس,weak,فَعل,نوس,0.956,نوس | نسو | نسي,yes,yes
2,21,3,اعْبُدُوا,عبد,sound,افْعُلُو,عبد,0.724,عبد | عبد | عبد,yes,yes
2,21,4,رَبَّكُمُ,ربب,geminate_sound,فَعَلَ,ربب,0.931,ربب | ربب | ربب,yes,yes
2,21,5,الَّذِي,ءلل,geminate_sound,الَّذِي,الذي,1.000,الذي,,
2,21,6,خَلَقَكُمْ,,no_truth,فَعَلَ,خلق,1.000,خلق | خلق | خلق,,
2,21,7,وَالَّذِينَ,ءلل,geminate_sound,وَالَّذِينَ,والذين,1.000,والذين,,
2,21,8,مِنْ,,no_truth,,,0.000,,,
2,21,9,قَبْلِكُمْ,,no_truth,فَعْل,قبل,0.931,قبل | قبل | قبل,,
2,21,10,لَعَلَّكُمْ,,no_truth,فَعَلَ,لعل,1.000,لعل | لعل | لعل,,
2,21,11,تَتَّقُونَ,وقي,weak,فَعُول,تقن,0.936,تقن | تقن | قين,no,no
2,22,1,الَّذِي,ءلل,geminate_sound,الَّذِي,الذي,1.000,الذي,,
2,22,2,جَعَلَ,جعل,sound,فَعَل,جعل,1.000,جعل | جعل | جعل,yes,yes
2,22,3,لَكُمُ,لك,other,فَعُل,لكم,1.000,لكم | لكم | لكم,no,no
2,22,4,الْأَرْضَ,,no_truth,فَعَلَ,ءرض,0.931,ءرض | ءرض | ءرض,,
2,22,5,فِرَاشَاً,,no_truth,فَاعَل,رشو,0.982,رشو | فرش | فرش,,
