word,count,pred,truth,category
نِعْمَتَ,8,ن | عمت,نعم | ة,wrong_content
لَقُضِيَ,8,لقض | ي,ل | قضي,wrong_content
يَشَاءَ,8,يشاء,ي | شاء,too_few_segments
الْغَنِيُّ,8,ال | غ | ني,ال | غني,too_many_segments
فَكَذَّبُوهُ,8,ف | كذبو | ه,ف | كذب | و | ه,too_few_segments
يَهْدِ,8,يهد,ي | هد,too_few_segments
بِرَبِّ,8,برب,ب | رب,too_few_segments
يَكُ,8,يك,ي | ك,too_few_segments
أَعْبُدُ,8,أعبد,أ | عبد,too_few_segments
عَرَبِيَّاً,8,عربي | ا,عرب | ي | ا,too_few_segments
تَاللَّهِ,8,تالل | ه,ت | ال | له,too_few_segments
وَعُيُونٍ,8,و | عي | ون,و | عيون,too_many_segments
أُقْسِمُ,8,أقسم,أ | قسم,too_few_segments
وَرَحْمَتُهُ,7,و | رحم | ة | ه,و | رحم | ت | ه,wrong_content
نَفْسَهُ,7,ن | فسه,نفس | ه,wrong_content
أَوَلَوْ,7,أولو,أول | و,too_few_segments
نِعْمَةَ,7,ن | عم | ة,نعم | ة,too_many_segments
نَاصِرِينَ,7,ن | اصر | ين,ناصر | ين,too_many_segments
كِتَابِ,7,ك | تاب,كتاب,too_many_segments
تَعَالَوْا,7,ت | عال | وا,تعال | وا,too_many_segments
سَيِّئَاتِهِمْ,7,س | يئ | ات | هم,سيئ | ات | هم,too_many_segments
وَأَعْتَدْنَا,7,و | أعتد | نا,و | أ | عتد | نا,too_few_segments
تَكُ,7,تك,ت | ك,too_few_segments
يَالَيْتَنِي,7,يا | لي | ت | ني,يا | ليت | ني,too_many_segments
وَتَوَكَّلْ,7,و | ت | وكل,و | توكل,too_many_segments
أُرِيدُ,7,أريد,أ | ريد,too_few_segments
فَاسِقُونَ,7,ف | اسق | ون,فاسق | ون,too_many_segments
بِلِقَاءِ,7,ب | لقاء,ب | لقاء | لقاء,too_few_segments
نَسُوا,7,ن | سوا,نس | وا,wrong_content
أَقُولُ,7,أقول,أ | قول,too_few_segments
لِقَاءَ,7,ل | قاء,لقاء,too_many_segments
بِالَّتِي,7,ب | التي,ب | آلتي,wrong_content
سِتَّةِ,7,س | تة,ست | ة,wrong_content
فَعَلَ,7,ف | عل,فعل,too_many_segments
سَأَلْتَهُمْ,7,سأل | ة | هم,سأل | ت | هم,wrong_content
يُعِيدُهُ,7,يعيد | ه,ي | عيد | ه,too_few_segments
الْقُرُونِ,7,ال | قر | ون,ال | قرون,too_many_segments
الْمُبِينِ,7,ال | مب | ين,ال | مبين,too_many_segments
يَاأَبَتِ,7,يا | أبت,يا | أب | ت,too_few_segments
وَتَرَكْنَا,7,و | ت | رك | نا,و | ترك | نا,too_many_segments
يَتَذَكَّرُ,7,يتذكر,ي | تذكر,too_few_segments
تَهْتَدُونَ,6,ت | هتد | ون,ت | هتد | و | ن,too_few_segments
نَرَى,6,نرى,ن | ري,too_few_segments
أَعُوذُ,6,أعوذ,أ | عوذ,too_few_segments
ادْعُ,6,ادع,ا | دع,too_few_segments
تَقُولُونَ,6,ت | قول | ون,ت | قول | و | ن,too_few_segments
وَالْمَسَاكِينِ,6,و | ال | مساك | ين,و | ال | مساكين,too_many_segments
وُجُوهَكُمْ,6,و | جوه | كم,وجوه | كم,too_many_segments
أَيْنَمَا,6,أينما,أين | ما,too_few_segments
فَإِنِّي,6,ف | أن | ني,ف | أن | ي,wrong_content
وَيَسْأَلُونَكَ,6,و | ي | سألون | ك,و | ي | سأل | و | ن | ك,too_few_segments
تَجِدُ,6,تجد,ت | جد,too_few_segments
تُحِبُّونَ,6,ت | حب | ون,ت | حب | و | ن,too_few_segments
تَخْتَلِفُونَ,6,ت | ختلف | ون,ت | ختلف | و | ن,too_few_segments
وُجُوهٌ,6,و | جوه,وجوه,too_many_segments
وُجُوهُهُمْ,6,و | جوه | هم,وجوه | هم,too_many_segments
سَيِّئَةٌ,6,س | يئ | ة,سيئ | ة,too_many_segments
وَكَأَيِّنْ,6,و | ك | أين,و | ك | أي | ن,too_few_segments
أَيْدِيكُمْ,6,أيدي | كم,أيد | ي | كم,too_few_segments
يُطِعِ,6,يطع,ي | طع,too_few_segments
أَعْتَدْنَا,6,أعتد | نا,اعتد | نا,wrong_content
يَبْتَغُونَ,6,ي | بتغ | ون,ي | بتغ | و | ن,too_few_segments
تَتَّبِعْ,6,تتبع,ت | تبع,too_few_segments
يُؤْفَكُونَ,6,ي | ؤفك | ون,ي | ؤفك | و | ن,too_few_segments
يَذَّكَّرُونَ,6,ي | ذكر | ون,ي | ذكر | و | ن,too_few_segments
فَلِلَّهِ,6,ف | ل | له,ف | ل | ال | له,too_few_segments
تَبَارَكَ,6,تبار | ك,تبارك,too_many_segments
يَدَيْ,6,ي | دي,يد | ي,wrong_content
فَاسِقِينَ,6,ف | اسق | ين,فاسق | ين,too_many_segments
يَابُنَيَّ,6,يا | ب | ني,يا | بن | ي,wrong_content
فَاعِلِينَ,6,ف | اعل | ين,فاعل | ين,too_many_segments
تَفْعَلُونَ,6,ت | فعل | ون,ت | فعل | و | ن,too_few_segments
أَرَأَيْتَ,6,أرأي | ت,أ | رأي | ت,too_few_segments
يَنْبَغِي,6,ي | نبغ | ي,ي | نبغي,too_many_segments
أَتَاكَ,6,أ | تاك,أتا | ك,wrong_content
تَقُولَ,6,تقول,ت | قول,too_few_segments
سَنَةٍ,5,س | نة,سن | ة,wrong_content
كِتَابَ,5,ك | تاب,كتاب,too_many_segments
الشَّيَاطِينَ,5,ال | شياط | ين,ال | شياطين,too_many_segments
اسْمُهُ,5,اسم | ه,ٱسم | ه,wrong_content
يَعْقُوبَ,5,ي | عقوب,يعقوب,too_many_segments
يَرَى,5,يرى,ي | ري,too_few_segments
يُقَاتِلُوكُمْ,5,ي | قاتلو | كم,ي | قاتل | و | كم,too_few_segments
فَرِيضَةً,5,ف | ريض | ة,فريض | ة,too_many_segments
بِيَدِهِ,5,ب | يده,ب | يد | ه,too_few_segments
الْعَلِيُّ,5,ال | على | ي,ال | علي,too_many_segments
سَيِّئَاتِكُمْ,5,س | يئ | ات | كم,سيئ | ات | كم,too_many_segments
بِسِيمَاهُمْ,5,ب | س | يما | هم,ب | سيم | ا | هم,wrong_content
إِلَّا,5,إلا,أن | لا,too_few_segments
اللَّهُمَّ,5,ال | ل | هم,الله | M,too_many_segments
قَالَتِ,5,قالت,قال | ت,too_few_segments
بُيُوتِكُمْ,5,بيو | ة | كم,بيوت | كم,too_many_segments
فَاعْبُدُوهُ,5,ف | اعبدو | ه,ف | ا | عبد | و | ه,too_few_segments
يَتَّخِذَ,5,يتخذ,ي | تخذ,too_few_segments
فَانْظُرُوا,5,ف | ا | ن | ظر | وا,ف | انظر | وا,too_many_segments
تَحْسَبَنَّ,5,ت | حسبن,ت | حسب | ن,too_few_segments
يَسْتَبْشِرُونَ,5,ي | ستبشر | ون,ي | ستبشر | و | ن,too_few_segments
لِلْعَبِيدِ,5,ل | ال | عبيد,ل | ل | عبيد,wrong_content
يَذْكُرُونَ,5,ي | ذكر | ون,ي | ذكر | و | ن,too_few_segments
يَأْتِينَ,5,ي | أت | ين,ي | أتي | ن,wrong_content
تُؤْمِنُونَ,5,ت | ؤمن | ون,ت | ؤمن | و | ن,too_few_segments
يَصُدُّونَ,5,ي | صد | ون,ي | صد | و | ن,too_few_segments
جَاءُوكَ,5,جاءو | ك,جاء | و | ك,too_few_segments
فَعَلُوهُ,5,ف | علو | ه,فعل | و | ه,wrong_content
لَيَقُولَنَّ,5,ليقولن,ل | ي | قول | ن,too_few_segments
وَاجْعَلْ,5,و | ا | جعل,و | أ | أجعل,wrong_content
وَقَعَ,5,و | قع,وقع,too_many_segments
يُجَادِلُ,5,يجادل,ي | جادل,too_few_segments
كُلَّاً,5,كلا,كل | ا,too_few_segments
نُهُوا,5,ن | هوا,نه | وا,wrong_content
أَمْلِكُ,5,أمل | ك,أ | ملك,wrong_content
يَدَكَ,5,يدك,يد | ك,too_few_segments
فَتَرَى,5,ف | ترى,ف | ت | رى,too_few_segments
لَبِئْسَ,5,لبئس,ل | بئس,too_few_segments
يَعْدِلُونَ,5,ي | عدل | ون,ي | عدل | و | ن,too_few_segments
سِيرُوا,5,س | ير | وا,سير | وا,too_many_segments
أَتَاهُمْ,5,أ | تا | هم,أتا | هم,too_many_segments
أَتَّبِعُ,5,أتبع,أ | تبع,too_few_segments
فَتَنَّا,5,ف | تن | نا,فتن | نا,too_many_segments
أَعْبُدَ,5,أعبد,أ | عبد,too_few_segments
لَنَكُونَنَّ,5,لنكونن,ل | ن | كون | ن,too_few_segments
صَلَاتِهِمْ,5,صل | ات | هم,صلا | ت | هم,wrong_content
وَكِيلٌ,5,و | كيل,وكيل,too_many_segments
كَلِمَتُ,5,كلمت,كلم | ة,too_few_segments
تَزِرُ,5,تزر,ت | زر,too_few_segments
أَجِئْتَنَا,5,أجئ | ة | نا,أ | جئ | ت | نا,too_few_segments
الْحَاكِمِينَ,5,ال | حا | كم | ين,ال | حاكم | ين,too_many_segments
أَرَى,5,أرى,أ | ري,too_few_segments
وَكُلٌّ,5,وكل,و | كل,too_few_segments
مَرَّتَيْنِ,5,مرت | ين,مر | ت | ين,too_few_segments
لَيْلَاً,5,ل | يل | ا,ليل | ا,too_many_segments
حَقَّتْ,5,حقت,حق | ت,too_few_segments
ائْتُونِي,5,ائتو | ني,ا | ئت | و | ن | ي,too_few_segments
آلِهَتِنَا,5,آله | ة | نا,آله | ت | نا,wrong_content
يُجَادِلُونَ,5,ي | جادل | ون,ي | جادل | و | ن,too_few_segments
وَلَعَذَابُ,5,و | لعذاب,و | ل | عذاب,too_few_segments
سَيِّئَاتُ,5,س | يئ | ات,سيئ | ات,too_many_segments
لَمَبْعُوثُونَ,5,لمبعوث | ون,ل | مبعوث | ون,too_few_segments
كِتَابَهُ,5,ك | تاب | ه,كتاب | ه,too_many_segments
وُجُوهِهِمْ,5,و | جوه | هم,وجوه | هم,too_many_segments
الْأَرَائِكِ,5,ال | أرائ | ك,ال | أرائك,too_many_segments
أَإِلَهٌ,5,أإله,أ | إله,too_few_segments
تَنْزِيلُ,5,ت | نزيل,تنزيل,too_many_segments
الشَّيَاطِينُ,4,ال | شياط | ين,ال | شياطين,too_many_segments
وَلَبِئْسَ,4,و | لبئس,و | ل | بئس,too_few_segments
تُقَدِّمُوا,4,ت | قدم | وا,تقدم | وا,too_many_segments
ذُرِّيَّتِي,4,ذري | ة | ي,ذر | ي | ت | ي,too_few_segments
لِرَبِّ,4,لرب,ل | رب,too_few_segments
يُقَاتِلُونَكُمْ,4,ي | قاتلون | كم,ي | قاتل | ون | كم,too_few_segments
فَرَضَ,4,ف | رض,فرض,too_many_segments
يَقُولَ,4,يقول,ي | قول,too_few_segments
آتَيْتُمُوهُنَّ,4,آتي | تمو | هن,آتي | تم | و | هن,too_few_segments
فَضَّلْنَا,4,ف | ضل | نا,فضل | نا,too_many_segments
وَسِعَ,4,و | سع,وسع,too_many_segments
فَأْتِ,4,فأ | ت,ف | أت,wrong_content
لَحْمَاً,4,ل | حم | ا,لحم | ا,too_many_segments
وَعَلَانِيَةً,4,و | علاني | ة,و | علان | ي | ة,too_few_segments
وَأُولُو,4,و | أولو,و | أول | و,too_few_segments
ذُرِّيَّةً,4,ذري | ة,ذر | ي | ة,too_few_segments
امْرَأَتُ,4,امرأت,امرأ | ة,too_few_segments
يَاعِيسَى,4,يا | عيسى,يا | عيسا,wrong_content
هَاأَنْتُمْ,4,هاأن | تم,ها | أنتم,wrong_content
وَيَنْهَوْنَ,4,و | ي | نه | ون,ي | نهي | ون,too_many_segments
يَتُوبَ,4,يتوب,ي | توب,too_few_segments
فَعَلُوا,4,ف | عل | وا,فعل | وا,too_many_segments
لِكَيْلَا,4,ل | كيلا,ل | كي | لا,too_few_segments
الْجَاهِلِيَّةِ,4,ال | جاهلي | ة,ال | جاهل | ي | ة,too_few_segments
هَاهُنَا,4,هاه | نا,ها | هنا,wrong_content
الْجَمْعَانِ,4,ال | جمعان,ال | جمع | ان,too_few_segments
مَأْوَاهُمْ,4,مأ | وا | هم,مأوا | هم,too_many_segments
اثْنَتَيْنِ,4,ا | ثنت | ين,اثن | ت | ين,wrong_content
وَصِيَّةٍ,4,و | صي | ة,وصي | ة,too_many_segments
فَضَّلَ,4,ف | ضل,فضل,too_many_segments
يَكُنِ,4,يكن,ي | كن,too_few_segments
وَإِذَاً,4,وإذ | ا,و | إذا,wrong_content
أَكُنْ,4,أكن,أ | كن,too_few_segments
أَيْدِيَكُمْ,4,أيدي | كم,أيد | ي | كم,too_few_segments
نَفْسِكَ,4,ن | فسك,نفس | ك,wrong_content
نَفْسَكَ,4,ن | فسك,نفس | ك,wrong_content
لَسْتَ,4,لست,لس | ت,too_few_segments
وَإِيَّاكُمْ,4,و | إياكم,و | إيا | كم,too_few_segments
نِعْمَتَهُ,4,ن | عمت | ه,نعم | ت | ه,wrong_content
وَاتْلُ,4,و | اتل,و | ا | تل,too_few_segments
أَخِي,4,أخي,أخ | ي,too_few_segments
يَأْتُوكَ,4,ي | أتو | ك,ي | أت | و | ك,too_few_segments
عِنْدِهِ,4,عند | ه,عند | ح,wrong_content
نَادِمِينَ,4,ن | ادم | ين,نادم | ين,too_many_segments
أَهَؤُلَاءِ,4,أهؤلاء,أ | هؤلاء,too_few_segments
يَتَوَلَّ,4,يتول,ي | تول,too_few_segments
وَأَلْقَيْنَا,4,و | ألقي | نا,و | ألقى | نا,wrong_content
وَبَالَ,4,و | ب | ال,وبال,too_many_segments
بِإِذْنِي,4,ب | إذ | ني,ب | إذن | ي,wrong_content
أَغَيْرَ,4,أغير,أ | غير,too_few_segments
بِضُرٍّ,4,بضر,ب | ضر,too_few_segments
أَئِنَّكُمْ,4,أئن | كم,أ | ئن | كم,too_few_segments
فَتَحْنَا,4,ف | ت | حنا,فتح | نا,too_many_segments
يَتَوَفَّاكُمْ,4,يتوفا | كم,ي | توفا | كم,too_few_segments
ائْتِنَا,4,ائ | ت | نا,ائت | نا,too_many_segments
وَاتَّقُوهُ,4,و | اتقو | ه,و | اتق | و | ه,too_few_segments
فَلِنَفْسِهِ,4,ف | ل | ن | فسه,ف | ل | نفس | ه,wrong_content
يُوحِي,4,يوح | ي,ي | وحي,wrong_content
الرِّجْسَ,4,ال | رجس,ال | لرجس,wrong_content
يَوْمِكُمْ,4,ي | وم | كم,يوم | كم,too_many_segments
مَكَانَتِكُمْ,4,مكان | ة | كم,مكان | ت | كم,wrong_content
لَصَادِقُونَ,4,لصادق | ون,ل | صادق | ون,too_few_segments
دَعْوَاهُمْ,4,دع | وا | هم,دعوا | هم,too_many_segments
لَأَمْلَأَنَّ,4,لأملأن,ل | أ | ملأ | ن,too_few_segments
وَلَكِنِّي,4,و | لكن | ني,و | لكن | ي,wrong_content
لَتَأْتُونَ,4,لتأت | ون,ل | ت | أت | ون,too_few_segments
امْرَأَتَهُ,4,امرأ | ة | ه,امرأ | ت | ه,wrong_content
وَأْمُرْ,4,وأمر,و | أمر,too_few_segments
لِنَفْسِي,4,ل | ن | فسي,ل | نفس | ي,wrong_content
مَسَّنِيَ,4,مس | ني,مس | ن | ي,too_few_segments
تَدْعُوهُمْ,4,ت | دعو | هم,ت | دع | و | هم,too_few_segments
وَمَأْوَاهُمْ,4,و | مأ | وا | هم,و | مأوا | هم,too_many_segments
لِقَاءَنَا,4,ل | قاء | نا,لقاء | نا,too_many_segments
نُرِيَنَّكَ,4,نرين | ك,ن | ري | ن | ك,too_few_segments
نَعِدُهُمْ,4,نعد | هم,ن | عد | هم,too_few_segments
تَدْعُ,4,تدع,ت | دع,too_few_segments
نَرَاكَ,4,نرا | ك,ن | را | ك,too_few_segments
أَبِي,4,أبي,أب | ي,too_few_segments
يَتَّقِ,4,يتق,ي | تق,too_few_segments
لَطِيفٌ,4,ل | طيف,لطيف,too_many_segments
نُوحِي,4,نوح | ي,ن | وحي,wrong_content
بِمَاءٍ,4,بماء,ب | ماء,too_few_segments
يَصْلَوْنَهَا,4,ي | صلون | ها,ي | صل | ون | ها,too_few_segments
الشَّيَاطِينِ,4,ال | شياط | ين,ال | شياطين,too_many_segments
وَلَّوْا,4,و | لوا,ول | وا,wrong_content
سُنَّةَ,4,س | نة,سن | ة,wrong_content
كِسَفَاً,4,ك | سف | ا,كسف | ا,too_many_segments
الْبَحْرَيْنِ,4,ال | بحر | ين,ال | بحرين,too_many_segments
يَحْيَى,4,ي | حيى,يحيى,too_many_segments
بِوَالِدَيْهِ,4,ب | والدي | ه,ب | والد | ي | ه,too_few_segments
وَجَعَلَنِي,4,و | جعل | ني,و | جعل | ن | ي,too_few_segments
رَحْمَتِنَا,4,رحم | ة | نا,رحم | ت | نا,wrong_content
أَفَرَأَيْتَ,4,أفرأي | ت,أ | ف | رأي | ت,too_few_segments
نُودِيَ,4,نود | ي,نودي,too_many_segments
رَأَيْتَهُمْ,4,رأي | ة | هم,رأي | ت | هم,wrong_content
أَدْرِي,4,أدر | ي,أ | دري,wrong_content
يُولِجُ,4,يولج,ي | ولج,too_few_segments
وَيُولِجُ,4,و | يولج,و | ي | ولج,too_few_segments
تُطِعِ,4,تطع,ت | طع,too_few_segments
أَفَرَأَيْتُمْ,4,أ | فرأي | تم,أ | ف | رأي | تم,too_few_segments
لَدَيَّ,4,لدى | ي,لد | ي,wrong_content
فَأَنْبَتْنَا,4,ف | أنب | ت | نا,ف | أنبت | نا,too_many_segments
لَيَقُولُونَ,4,ليقول | ون,ل | ي | قول | ون,too_few_segments
مَمْنُونٍ,4,ممن | ون,ممنون,too_many_segments
مَجْنُونٌ,4,مجن | ون,مجنون,too_many_segments
يَسَّرْنَا,4,يسر | نا,ي | سر | نا,too_few_segments
الْيَقِينِ,4,ال | يق | ين,ال | يقين,too_many_segments
وَتَوَاصَوْا,4,و | ت | واص | وا,و | تواص | وا,too_many_segments
يُوصَلَ,3,يوصل,ي | وصل,too_few_segments
وَأَعْلَمُ,3,و | أعلم,و | أ | علم,too_few_segments
يَأْتِيَنَّكُمْ,3,ي | أتين | كم,ي | أتي | ن | كم,too_few_segments
نِعْمَتِيَ,3,ن | عمت | ي,نعم | ت | ي,wrong_content
مُلَاقُو,3,ملاقو,ملاق | و,too_few_segments
يَسُومُونَكُمْ,3,يسومون | كم,ي | سوم | ون | كم,too_few_segments
لَيْلَةً,3,ل | يل | ة,ليل | ة,too_many_segments
أَيَّامَاً,3,أيا | ما,أيام | ا,wrong_content
سَيِّئَةً,3,س | يئ | ة,سيئ | ة,too_many_segments
بِئْسَمَا,3,ب | ئسما,بئس | ما,wrong_content
وَمَلَائِكَتِهِ,3,و | ملائك | ة | ه,و | ملائك | ت | ه,wrong_content
تُوَلُّوا,3,تول | وا,ت | ول | وا,too_few_segments
بَيْتِيَ,3,بي | ت | ي,بيت | ي,too_many_segments
يَابَنِيَّ,3,يا | ب | ني,يا | بن | ي,wrong_content
يَتَّبِعُ,3,يتبع,ي | تبع,too_few_segments
عَقِبَيْهِ,3,عقبي | ه,عقب | ي | ه,too_few_segments
لِئَلَّا,3,ل | ئلا,ل | ئ | لا,too_few_segments
نِعْمَتِي,3,ن | عمت | ي,نعم | ت | ي,wrong_content
نَتَّبِعُ,3,نتبع,ن | تبع,too_few_segments
بَعْدَمَا,3,بعدما,بعد | ما,too_few_segments
يَتَبَيَّنَ,3,ي | تب | ين,ي | تبين,too_many_segments
وَاقْتُلُوهُمْ,3,و | اقتلو | هم,و | ا | قتل | و | هم,too_few_segments
يَوْمَيْنِ,3,ي | وم | ين,يوم | ين,too_many_segments
مَرْضَاتِ,3,مرض | ات,مرضا | ت,wrong_content
يَرُدُّوكُمْ,3,ي | ردو | كم,ي | رد | و | كم,too_few_segments
رَحْمَتَ,3,رحمت,رحم | ة,too_few_segments
يُقِيمَا,3,يقيما,ي | قيم | ا,too_few_segments
فَأَمْسِكُوهُنَّ,3,ف | أمسكو | هن,ف | أ | مسك | و | هن,too_few_segments
يَعِظُكُمْ,3,يعظ | كم,ي | عظ | كم,too_few_segments
تَمَسُّوهُنَّ,3,ت | مسو | هن,ت | مس | و | هن,too_few_segments
وَلِيُّ,3,و | ل | ي,ولي,too_many_segments
وَانْظُرْ,3,و | ا | نظر,و | أنظر,too_many_segments
يَذَّكَّرُ,3,يذكر,ي | ذكر,too_few_segments
تُخْفُوهُ,3,ت | خفو | ه,ت | خف | و | ه,too_few_segments
وَارْحَمْنَا,3,و | ارحم | نا,و | ا | رحم | نا,too_few_segments
كَدَأْبِ,3,كدأب,ك | دأب,too_few_segments
بِنَصْرِهِ,3,ب | ن | صره,ب | نصر | ه,wrong_content
يَتَوَلَّى,3,يتولى,ي | تولى,too_few_segments
يَتَّخِذْ,3,يتخذ,ي | تخذ,too_few_segments
وَجَدَ,3,و | جد,وجد,too_many_segments
الْحَوَارِيُّونَ,3,ال | حواري | ون,ال | حوار | ي | ون,too_few_segments
اتَّبَعُوهُ,3,اتبعو | ه,اتبع | و | ه,too_few_segments
تَفَرَّقُوا,3,تفرق | وا,ت | فرق | وا,too_few_segments
وَدُّوا,3,و | دوا,ود | وا,wrong_content
نُؤْتِهِ,3,ن | ؤته,ن | ؤت | ه,too_few_segments
فَاتَكُمْ,3,ف | ات | كم,فات | كم,too_many_segments
الْتَقَى,3,ال | تقى,ٱلتقى,too_many_segments
وَمَأْوَاهُ,3,و | مأ | وا | ه,و | مأوا | ه,too_many_segments
يَحْسَبَنَّ,3,ي | حسبن,ي | حسب | ن,too_few_segments
كَذَّبُوكَ,3,كذبو | ك,كذب | و | ك,too_few_segments
أَتَوْا,3,أ | توا,أت | وا,wrong_content
الْوَالِدَانِ,3,ال | والدان,ال | والد | ان,too_few_segments
يَعْصِ,3,يعص,ي | عص,too_few_segments
عَفُوَّاً,3,عف | وا,عفو | ا,wrong_content
فَتِيلَاً,3,ف | تيل | ا,فتيل | ا,too_many_segments
اقْتُلُوا,3,اقتل | وا,ا | قتل | وا,too_few_segments
انْفِرُوا,3,ا | ن | فر | وا,ا | نفر | وا,too_many_segments
سَيِّئَةٍ,3,س | يئ | ة,سيئ | ة,too_many_segments
جَاءُوكُمْ,3,جاءو | كم,جاء | و | كم,too_few_segments
فَتَحْرِيرُ,3,ف | ت | حرير,ف | تحرير,too_many_segments
فَتَبَيَّنُوا,3,ف | تب | ين | وا,ف | تبين | وا,too_many_segments
فَأَقِيمُوا,3,ف | أقيم | وا,ف | أ | قيم | وا,too_few_segments
وَيَأْتِ,3,و | يأ | ت,و | ي | أت,wrong_content
عِبَادَتِهِ,3,عباد | ة | ه,عباد | ت | ه,wrong_content
وَيَزِيدُهُمْ,3,و | يزيد | هم,و | ي | زيد | هم,too_few_segments
كَانَتَا,3,كانتا,كان | تا,too_few_segments
يَجْرِمَنَّكُمْ,3,ي | جرمن | كم,ي | جرم | ن | كم,too_few_segments
فَكَأَنَّمَا,3,ف | كأنما,ف | كأن | ما,too_few_segments
فَسَادَاً,3,ف | ساد | ا,فساد | ا,too_many_segments
يُرِدِ,3,يرد,ي | رد,too_few_segments
أَعْرِضْ,3,أعرض,أ | عرض,too_few_segments
