sura,verse,word_no,word,pred,truth,truth_raw,truth_tags,n_pred,n_truth,category
2,76,18,لِيُحَاجُّوكُمْ,ل | ي | حاجو | كم,ل | ي | حاج | و | كم,ل | ي | حاج | و | كم,PREP | IMPERF_PREF | IV | SUBJ_PRON | OBJ_PRON,4,5,too_few_segments
2,78,2,أُمِّيُّونَ,أمي | ون,أم | ي | ون,أم | ي | ون,NOUN_RELATIVE | RELATIVE_YA | NSUFF_MASC_PL_NOM,2,3,too_few_segments
2,78,7,أَمَانِيَّ,أما | ني,أماني,أماني,NOUN_ABSTRACT,2,1,too_many_segments
2,80,3,تَمَسَّنَا,تمس | نا,ت | مس | نا,ت | مس | نا,IMPERF_PREF | IV | SUBJ_PRON,2,3,too_few_segments
2,80,6,أَيَّامَاً,أيا | ما,أيام | ا,أيام | ا,NOUN_ABSTRACT | CASE_INDEF_ACC,2,2,wrong_content
2,80,9,أَتَّخَذْتُمْ,أتخذ | تم,أ | تخذ | تم,أ | تخذ | تم,INTERROG | PV | SUBJ_PRON,2,3,too_few_segments
2,80,18,تَقُولُونَ,ت | قول | ون,ت | قول | و | ن,ت | قول | و | ن,IV3FS | IV | SUBJ_PRON | NOON_V5,3,4,too_few_segments
2,81,4,سَيِّئَةً,س | يئ | ة,سيئ | ة,سيئ | ة | (null),ADJ_QUALIT | NSUFF_FEM_SG | CASE_DEF_NOM,3,2,too_many_segments
2,81,7,خَطِيئَتُهُ,خطيئ | ة | ه,خطيئ | ت | ه,خطيئ | ت | ه,NOUN_ABSTRACT | NSUFF_FEM_SG | POSS_PRON,3,3,wrong_content
2,83,4,بَنِي,ب | ني,بن | ي,بن | ي,NOUN_CONCRETE | NSUFF_MASC_PL_GEN,2,2,wrong_content
2,83,15,وَالْمَسَاكِينِ,و | ال | مساك | ين,و | ال | مساكين,و | ال | مساكين | (null),CONJ | DET | ADJ_INTENS | CASE_DEF_GEN,4,3,too_many_segments
2,85,7,فَرِيقَاً,ف | ريق | ا,فريق | ا,فريق | ا,NOUN_CONCRETE | CASE_INDEF_ACC,3,2,too_many_segments
2,85,16,يَأْتُوكُمْ,ي | أتو | كم,ي | أت | و | كم,ي | أت | و | كم,IMPERF_PREF | IV | SUBJ_PRON | OBJ_PRON,3,4,too_few_segments
2,85,18,تُفَادُوهُمْ,ت | فادو | هم,ت | فاد | و | هم,ت | فاد | و | هم,IMPERF_PREF | IV | SUBJ_PRON | OBJ_PRON,3,4,too_few_segments
2,85,23,أَفَتُؤْمِنُونَ,أفتؤمن | ون,أ | ف | ت | ؤمن | ون,أ | ف | ت | ؤمن | ون | None | None,INTERROG | CONJ | IMPERF_PREF | IV | SUBJ_PRON | None | None,2,5,too_few_segments
2,87,10,عِيسَى,عيسى,عيسا,عيسا,NOUN_PROP_FOREIGN,1,1,wrong_content
2,87,17,أَفَكُلَّمَا,أفكلما,أ | ف | كل | ما,أ | ف | كل | ما,INTERROG | CONJ | NOUN_ABSTRACT | OTHER,1,4,too_few_segments
2,90,1,بِئْسَمَا,ب | ئسما,بئس | ما,بئس | ما,UNINFLECTED_VERB | OTHER,2,2,wrong_content
2,91,15,وَرَاءَهُ,و | راء | ه,وراء | ه,وراء | (null) | ه,ADV | CASE_DEF_ACC | POSS_PRON_3MS,3,2,too_many_segments
2,93,21,بِئْسَمَا,ب | ئسما,بئس | ما,بئس | ما,UNINFLECTED_VERB | OTHER,2,2,wrong_content
2,95,2,يَتَمَنَّوْهُ,يتمنو | ه,ي | تمن | و | ه,ي | تمن | و | ه,IMPERF_PREF | IV | SUBJ_PRON | OBJ_PRON,2,4,too_few_segments
2,96,1,وَلَتَجِدَنَّهُمْ,و | لتجدن | هم,و | ل | ت | جد | ن | هم,و | ل | ت | جد | ن | هم,CONJ | PREP | IMPERF_PREF | IV | EMPHATIC_NUN | OBJ_PRON,3,6,too_few_segments
2,96,14,سَنَةٍ,س | نة,سن | ة,سن | ة | (null),NOUN_ABSTRACT | NSUFF_FEM_SG | CASE_INDEF_ACC,2,2,wrong_content
2,97,4,عَدُوَّاً,عد | وا,عدو | ا,عدو | ا,ADJ_INTENS | CASE_INDEF_(ACC_GEN),2,2,wrong_content
2,97,15,يَدَيْهِ,يدي | ه,يد | ي | ه,يد | ي | ه,NOUN_CONCRETE | NSUFF_MASC_DU_ACC | POSS_PRON_3MS,2,3,too_few_segments
2,98,3,عَدُوَّاً,عد | وا,عدو | ا,عدو | ا,ADJ_INTENS | CASE_INDEF_(ACC_GEN),2,2,wrong_content
2,98,5,وَمَلَائِكَتِهِ,و | ملائك | ة | ه,و | ملائك | ت | ه,و | ملائك | ت | ه,CONJ | NOUN_CONCRETE | NSUFF_FEM_SG | POSS_PRON,4,4,wrong_content
2,100,5,فَرِيقٌ,ف | ريق,فريق,فريق | (null),NOUN_CONCRETE | CASE_DEF_GEN,2,1,too_many_segments
2,101,11,فَرِيقٌ,ف | ريق,فريق,فريق | (null),NOUN_CONCRETE | CASE_DEF_GEN,2,1,too_many_segments
2,101,16,كِتَابَ,ك | تاب,كتاب,كتاب | (null),NOUN_CONCRETE | CASE_INDEF_GEN,2,1,too_many_segments
2,102,4,الشَّيَاطِينُ,ال | شياط | ين,ال | شياطين,ال | شياطين | (null),DET | NOUN_CONCRETE | CASE_DEF_GEN,3,2,too_many_segments
2,102,12,الشَّيَاطِينَ,ال | شياط | ين,ال | شياطين,ال | شياطين | (null),DET | NOUN_CONCRETE | CASE_DEF_GEN,3,2,too_many_segments
2,102,29,يَقُولَا,يقولا,ي | قول | ا,ي | قول | ا,IMPERF_PREF | IV | SUBJ_PRON,1,3,too_few_segments
2,102,67,وَلَبِئْسَ,و | لبئس,و | ل | بئس,و | ل | بئس,CONJ | OTHER | UNINFLECTED_VERB,2,3,too_few_segments
2,104,8,انْظُرْنَا,انظر | نا,ا | نظر | نا,ا | نظر | نا,CV_PREF | CV | OBJ_PRON,2,3,too_few_segments
2,105,19,بِرَحْمَتِهِ,ب | رحم | ة | ه,ب | رحم | ت | ه,ب | رحم | ت | ه,PREP | GERUND | NSUFF_FEM_SG | POSS_PRON,4,4,wrong_content
2,106,7,نَأْتِ,نأ | ت,ن | أت,ن | أت,IMPERF_PREF | IV,2,2,wrong_content
2,108,12,يَتَبَدَّلِ,يتبدل,ي | تبدل,ي | تبدل,IMPERF_PREF | IV,1,2,too_few_segments
2,109,7,يَرُدُّونَكُمْ,ي | ردون | كم,ي | رد | و | ن | كم,ي | رد | و | ن | كم,IMPERF_PREF | IV | SUBJ_PRON | NOON_V5 | OBJ_PRON,3,5,too_few_segments
2,109,19,تَبَيَّنَ,ت | بين,تبين,تبين,PV,2,1,too_many_segments
2,110,6,تُقَدِّمُوا,ت | قدم | وا,تقدم | وا,تقدم | وا,PV | PVSUFF_SUBJ:3MP,3,2,too_many_segments
2,110,10,تَجِدُوهُ,تجدو | ه,ت | جد | و | ه,ت | جد | و | ه,IMPERF_PREF | IV | SUBJ_PRON | OBJ_PRON,2,4,too_few_segments
2,111,12,أَمَانِيُّهُمْ,أما | ني | هم,أماني | هم,أماني | هم,NOUN_ABSTRACT | POSS_PRON,3,2,too_many_segments
2,113,1,وَقَالَتِ,و | قالت,و | قال | ت,و | قال | ت,CONJ | PV | SUFF_FEM_TA,2,3,too_few_segments
2,113,3,لَيْسَتِ,ليست,ليس | ت,ليس | ت,UNINFLECTED_VERB | PVSUFF_SUBJ:3FS,1,2,too_few_segments
2,113,7,وَقَالَتِ,و | قالت,و | قال | ت,و | قال | ت,CONJ | PV | SUFF_FEM_TA,2,3,too_few_segments
2,113,9,لَيْسَتِ,ليست,ليس | ت,ليس | ت,UNINFLECTED_VERB | PVSUFF_SUBJ:3FS,1,2,too_few_segments
2,114,10,اسْمُهُ,اسم | ه,ٱسم | ه,ٱسم | (null) | ه,NOUN_ABSTRACT | CASE_DEF_GEN | POSS_PRON_3MS,2,2,wrong_content
2,114,19,يَدْخُلُوهَا,ي | دخلو | ها,ي | دخل | و | ها,ي | دخل | و | ها,IMPERF_PREF | IV | SUBJ_PRON | OBJ_PRON,3,4,too_few_segments
2,115,4,فَأَيْنَمَا,ف | أينما,ف | أين | ما,ف | أين | ما,OTHER | INTERROG_PART | OTHER,2,3,too_few_segments
2,115,5,تُوَلُّوا,تول | وا,ت | ول | وا,ت | ول | وا,IMPERF_PREF | IV | SUBJ_PRON,2,3,too_few_segments
2,120,8,تَتَّبِعَ,تتبع,ت | تبع,ت | تبع,IMPERF_PREF | IV,1,2,too_few_segments
2,120,9,مِلَّتَهُمْ,ملت | هم,مل | ت | هم,مل | ت | هم,NOUN_CONCRETE | NSUFF_FEM_SG | POSS_PRON,2,3,too_few_segments
2,121,4,يَتْلُونَهُ,ي | تلون | ه,ي | تل | ون | ه,ي | تل | ون | ه | None | None,IMPERF_PREF | IV | SUBJ_PRON | OBJ_PRON | None | None,3,4,too_few_segments
2,121,6,تِلَاوَتِهِ,تلاو | ة | ه,تلاو | ت | ه,تلاو | ت | ه,GERUND | NSUFF_FEM_SG | POSS_PRON,3,3,wrong_content
2,122,1,يَابَنِي,يا | ب | ني,يا | بن | ي,يا | بن | ي,VOC_PART | NOUN_CONCRETE | NSUFF_MASC_PL_GEN,3,3,wrong_content
2,122,4,نِعْمَتِيَ,ن | عمت | ي,نعم | ت | ي,نعم | ت | ي,NOUN_ABSTRACT | NSUFF_FEM_SG | POSS_PRON,3,3,wrong_content
2,122,8,وَأَنِّي,و | أن | ني,و | أن | ي,و | أن | ي,CONJ | INF_ANNUL_PART | OTHER,3,3,wrong_content
2,122,9,فَضَّلْتُكُمْ,ف | ضل | ت | كم,فضل | ت | كم,فضل | ت | كم,PV | SUBJ_PRON | OBJ_PRON,4,3,too_many_segments
2,124,8,إِنِّي,أن | ني,أن | ي,إن | ي,ANNUL_PART | POSS_PRON,2,2,wrong_content
2,124,14,ذُرِّيَّتِي,ذري | ة | ي,ذر | ي | ت | ي,ذر | ي | ت | ي,GERUND_PROFESSION | RELATIVE_YA | NSUFF_FEM_SG | POSS_PRON,3,4,too_few_segments
2,125,17,طَهِّرَا,طهرا,طهر | ا,طهر | ا,CV | SUBJ_PRON,1,2,too_few_segments
2,125,18,بَيْتِيَ,بي | ت | ي,بيت | ي,بيت | ي,NOUN_CONCRETE | POSS_PRON_1S,3,2,too_many_segments
2,126,22,فَأُمَتِّعُهُ,ف | أمتع | ه,ف | أ | متع | ه,ف | أ | متع | ه,CONJ | IMPERF_PREF | IV | OBJ_PRON,3,4,too_few_segments
2,126,25,أَضْطَرُّهُ,أضطر | ه,أ | ضطر | ه,أ | ضطر | ه,IMPERF_PREF | IV | OBJ_PRON,2,3,too_few_segments
2,127,9,تَقَبَّلْ,ت | قبل,تقبل,تقبل,CV,2,1,too_many_segments
2,128,2,وَاجْعَلْنَا,و | اجعل | نا,و | ا | جعل | نا,و | ا | جعل | نا,CONJ | CV_PREF | CV | SUBJ_PRON,3,4,too_few_segments
2,128,6,ذُرِّيَّتِنَا,ذري | ة | نا,ذر | ي | ت | نا,ذر | ي | ت | نا,GERUND_PROFESSION | RELATIVE_YA | NSUFF_FEM_SG | POSS_PRON,3,4,too_few_segments
2,130,9,نَفْسَهُ,ن | فسه,نفس | ه,نفس | (null) | ه,NOUN_ABSTRACT | CASE_DEF_ACC | POSS_PRON_3MS,2,2,wrong_content
2,131,8,لِرَبِّ,لرب,ل | رب,ل | رب,PREP | NOUN_CONCRETE,1,2,too_few_segments
2,132,4,بَنِيهِ,بني | ه,بن | ي | ه,بن | ي | ه,NOUN_CONCRETE | NSUFF_MASC_PL_ACC | POSS_PRON,2,3,too_few_segments
2,132,5,وَيَعْقُوبُ,و | ي | عقوب,و | يعقوب,و | يعقوب,CONJ | NOUN_PROP_FOREIGN,3,2,too_many_segments
2,132,6,يَابَنِيَّ,يا | ب | ني,يا | بن | ي,يا | بن | ي | None,VOC_PART | NOUN_CONCRETE | NSUFF_MASC_PL_GEN | None,3,3,wrong_content
2,132,13,تَمُوتُنَّ,ت | مو | تن,ت | موت | ن,ت | موت | ن | None,IMPERF_PREF | IV | EMPHATIC_NUN | None,3,3,wrong_content
2,133,6,يَعْقُوبَ,ي | عقوب,يعقوب,يعقوب,NOUN_PROP_FOREIGN,2,1,too_many_segments
2,133,10,لِبَنِيهِ,ل | بني | ه,ل | بن | ي | ه,ل | بن | ي | ه,PREP | NOUN_CONCRETE | NSUFF_MASC_PL_GEN | POSS_PRON,3,4,too_few_segments
2,136,13,وَيَعْقُوبَ,و | ي | عقوب,و | يعقوب,و | يعقوب,CONJ | NOUN_PROP_FOREIGN,3,2,too_many_segments
2,136,16,أُوتِيَ,أوت | ي,أوتي,أوتي,PV_PASS,2,1,too_many_segments
2,136,20,أُوتِيَ,أوت | ي,أوتي,أوتي,PV_PASS,2,1,too_many_segments
2,137,15,فَسَيَكْفِيكَهُمُ,ف | س | ي | كفيك | هم,ف | س | ي | كفي | كهم,ف | س | ي | كفي | كهم | None | None,OTHER | FUT_PART | IMPERF_PREF | IV | OBJ_PRON | None | None,5,5,wrong_content
2,139,2,أَتُحَاجُّونَنَا,أ | ت | حاجون | نا,أ | ت | حاج | ون | نا,أ | ت | حاج | ون | نا | None | None,INTERROG | IMPERF_PREF | IV | SUBJ_PRON | OBJ_PRON | None | None,4,5,too_few_segments
2,140,2,تَقُولُونَ,ت | قول | ون,ت | قول | و | ن,ت | قول | و | ن,IV3FS | IV | SUBJ_PRON | NOON_V5,3,4,too_few_segments
2,140,7,وَيَعْقُوبَ,و | ي | عقوب,و | يعقوب,و | يعقوب,CONJ | NOUN_PROP_FOREIGN,3,2,too_many_segments
2,140,23,عِنْدَهُ,عند | ه,عند | ح,عند | ح,ADV | POSS_PRON,2,2,wrong_content
2,142,6,وَلَّاهُمْ,و | لا | هم,ولا | هم,ولا | هم,PV | OBJ_PRON,3,2,too_many_segments
2,142,8,قِبْلَتِهِمُ,قبل | ة | هم,قبل | ت | هم,قبل | ت | هم,NOUN_ABSTRACT | NSUFF_FEM_SG | POSS_PRON,3,3,wrong_content
2,143,22,يَتَّبِعُ,يتبع,ي | تبع,ي | تبع,IMPERF_PREF | IV,1,2,too_few_segments
2,143,27,عَقِبَيْهِ,عقبي | ه,عقب | ي | ه,عقب | ي | ه,NOUN_ABSTRACT | NSUFF_MASC_DU_GEN | POSS_PRON,2,3,too_few_segments
2,143,39,لِيُضِيعَ,ل | يضيع,ل | ي | ضيع,ل | ي | ضيع,PREP | IMPERF_PREF | IV,2,3,too_few_segments
2,144,2,نَرَى,نرى,ن | ري,ن | ري,IV1P | IV,1,2,too_few_segments
2,144,3,تَقَلُّبَ,ت | قلب,تقلب,تقلب,GERUND,2,1,too_many_segments
2,144,7,فَلَنُوَلِّيَنَّكَ,ف | لنولين | ك,ف | ل | ن | ولي | ن | ك,ف | ل | ن | ولي | ن | ك,OTHER | OTHER | IMPERF_PREF | IV | EMPHATIC_NUN | OBJ_PRON,3,6,too_few_segments
2,144,15,وَحَيْثُمَا,و | حيثما,و | ما | حيث,و | ما | حيث,CONJ | OTHER | ADV,2,3,too_few_segments
2,144,19,وُجُوهَكُمْ,و | جوه | كم,وجوه | كم,وجوه | كم,NOUN_CONCRETE | POSS_PRON,3,2,too_many_segments
2,144,25,لَيَعْلَمُونَ,ليعلم | ون,ل | ي | علم | ون,ل | ي | علم | ون | None | None,OTHER | IMPERF_PREF | IV | SUBJ_PRON | None | None,2,4,too_few_segments
2,145,2,أَتَيْتَ,أ | تي | ت,أتي | ت,أتي | ت,PV | SUBJ_PRON,3,2,too_many_segments
2,145,9,تَبِعُوا,ت | ب | عوا,تبع | وا,تبع | وا,PV | SUBJ_PRON,3,2,too_many_segments
2,145,10,قِبْلَتَكَ,قبل | ة | ك,قبل | ت | ك,قبل | ت | ك,NOUN_ABSTRACT | NSUFF_FEM_SG | POSS_PRON,3,3,wrong_content
2,145,14,قِبْلَتَهُمْ,قبل | ة | هم,قبل | ت | هم,قبل | ت | هم,NOUN_ABSTRACT | NSUFF_FEM_SG | POSS_PRON,3,3,wrong_content
2,146,4,يَعْرِفُونَهُ,ي | عرفون | ه,ي | عرف | ون | ه,ي | عرف | ون | ه | None | None,IMPERF_PREF | IV | SUBJ_PRON | OBJ_PRON | None | None,3,4,too_few_segments
2,146,9,فَرِيقَاً,ف | ريق | ا,فريق | ا,فريق | ا,NOUN_CONCRETE | CASE_INDEF_ACC,3,2,too_many_segments
2,146,11,لَيَكْتُمُونَ,ليك | تم | ون,ل | ي | كتم | ون,ل | ي | كتم | ون | None | None,OTHER | IMPERF_PREF | IV | SUBJ_PRON | None | None,3,4,too_few_segments
2,147,5,تَكُونَنَّ,تكونن,ت | كون | ن,ت | كون | ن,IMPERF_PREF | IV | EMPHATIC_NUN,1,3,too_few_segments
2,148,5,فَاسْتَبِقُوا,ف | استبق | وا,ف | ا | ستبق | وا,ف | ا | ستبق | وا,CONJ | CV_PREF | CV | SUBJ_PRON,3,4,too_few_segments
