flag,root,word,word_plain,segment,wazn,confidence,location,alternatives
no_root_found,N/A,فِرْعَوْنَ,فرعون,فِرْعَوْنَ,فرعون,1.000,2:49:5,
no_root_found,N/A,فِرْعَوْنَ,فرعون,فِرْعَوْنَ,فرعون,1.000,2:50:8,
no_root_found,N/A,مُوسَى,موسى,مُوسَى,موسي,1.000,2:51:3,
closed_class_surface,ذلك,ذَلِكَ,ذلك,ذَلِكَ,closed_class,1.000,2:52:6,
no_root_found,N/A,مُوسَى,موسى,مُوسَى,موسي,1.000,2:53:3,
no_root_found,N/A,مُوسَى,موسى,مُوسَى,موسي,1.000,2:54:3,
no_root_found,N/A,يَامُوسَى,ياموسى,مُوسَى,موسي,1.000,2:55:3,
closed_class_surface,هذه,هَذِهِ,هذه,هَذِهِ,closed_class,1.000,2:58:4,
no_root_found,N/A,وَسَنَزِيدُ,وسنزيد,زِيدُ,زيد,1.000,2:58:19,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:59:2,
closed_class_surface,الذي,الَّذِي,الذي,الَّذِي,closed_class,1.000,2:59:6,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:59:11,
no_root_found,N/A,مُوسَى,موسى,مُوسَى,موسي,1.000,2:60:3,
no_root_found,N/A,عَيْنَاً,عينا,عَيْنَ,عين,1.000,2:60:13,
no_root_found,N/A,الْأَرْضِ,الأرض,أَرْضِ,ارض,1.000,2:60:27,
no_root_found,N/A,يَامُوسَى,ياموسى,مُوسَى,موسي,1.000,2:61:3,
no_root_found,N/A,الْأَرْضُ,الأرض,أَرْضُ,ارض,1.000,2:61:16,
closed_class_surface,الذي,الَّذِي,الذي,الَّذِي,closed_class,1.000,2:61:25,
closed_class_surface,الذي,بِالَّذِي,بالذي,الَّذِي,closed_class,1.000,2:61:28,
no_root_found,N/A,مِصْرَاً,مصرا,مِصْرَ,مصر,1.000,2:61:32,
closed_class_surface,ذلك,ذَلِكَ,ذلك,ذَلِكَ,closed_class,1.000,2:61:45,
closed_class_surface,ذلك,ذَلِكَ,ذلك,ذَلِكَ,closed_class,1.000,2:61:55,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:62:2,
closed_class_surface,الذين,وَالَّذِينَ,والذين,الَّذِينَ,closed_class,1.000,2:62:4,
no_root_found,N/A,صَالِحَاً,صالحا,صَالِحَ,صالح,1.000,2:62:14,
closed_class_surface,ذلك,ذَلِكَ,ذلك,ذَلِكَ,closed_class,1.000,2:64:5,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:65:3,
no_root_found,N/A,مُوسَى,موسى,مُوسَى,موسي,1.000,2:67:3,
closed_class_surface,ذلك,ذَلِكَ,ذلك,ذَلِكَ,closed_class,1.000,2:68:20,
no_root_found,N/A,الْأَرْضَ,الأرض,أَرْضَ,ارض,1.000,2:71:9,
closed_class_surface,ذلك,كَذَلِكَ,كذلك,ذَلِكَ,closed_class,1.000,2:73:4,
closed_class_surface,ذلك,ذَلِكَ,ذلك,ذَلِكَ,closed_class,1.000,2:74:6,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:76:3,
closed_class_surface,الذين,لِلَّذِينَ,للذين,الَذِينَ,closed_class,1.000,2:79:2,
closed_class_surface,هذا,هَذَا,هذا,هَذَا,closed_class,1.000,2:79:8,
closed_class_surface,الذين,وَالَّذِينَ,والذين,الَّذِينَ,closed_class,1.000,2:82:1,
no_root_found,N/A,الصَّالِحَاتِ,الصالحات,صَالِحَ,صالح,1.000,2:82:4,
no_root_found,N/A,إِسْرَائِيلَ,إسرائيل,إِسْرَائِيلَ,اسراءيل,1.000,2:83:5,
low_confidence,فمن,أَفَتُؤْمِنُونَ,أفتؤمنون,أَفَتُؤْمِنُ,فتاعل,0.505,2:85:23,فءم/فتعلن@0.47
closed_class_surface,ذلك,ذَلِكَ,ذلك,ذَلِكَ,closed_class,1.000,2:85:32,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:86:2,
no_root_found,N/A,مُوسَى,موسى,مُوسَى,موسي,1.000,2:87:3,
no_root_found,N/A,عِيسَى,عيسى,عِيسَى,عيسي,1.000,2:87:10,
no_root_found,N/A,مَرْيَمَ,مريم,مَرْيَمَ,مريم,1.000,2:87:12,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:89:15,
no_root_found,N/A,مُوسَى,موسى,مُوسَى,موسي,1.000,2:92:3,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:96:7,
no_root_found,N/A,قَلْبِكَ,قلبك,قَلْبِ,قلب,1.000,2:97:9,
no_root_found,N/A,بِإِذْنِ,بإذن,إِذْنِ,اذن,1.000,2:97:10,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:101:13,
no_root_found,N/A,مُلْكِ,ملك,مُلْكِ,ملك,1.000,2:102:6,
no_root_found,N/A,سُلَيْمَانَ,سليمان,سُلَيْمَانَ,سليمان,1.000,2:102:7,
no_root_found,N/A,سُلَيْمَانُ,سليمان,سُلَيْمَانُ,سليمان,1.000,2:102:10,
no_root_found,N/A,الْمَلَكَيْنِ,الملكين,مَلَكَ,ملك,1.000,2:102:20,
no_root_found,N/A,هَارُوتَ,هاروت,هَارُوتَ,هاروت,1.000,2:102:22,
no_root_found,N/A,بِإِذْنِ,بإذن,إِذْنِ,اذن,1.000,2:102:50,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:104:2,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:105:3,
no_root_found,N/A,مُلْكُ,ملك,مُلْكُ,ملك,1.000,2:107:6,
no_root_found,N/A,وَالْأَرْضِ,والأرض,أَرْضِ,ارض,1.000,2:107:8,
no_root_found,N/A,مُوسَى,موسى,مُوسَى,موسي,1.000,2:108:8,
no_root_found,N/A,هُودَاً,هودا,هُودَ,هود,1.000,2:111:8,
closed_class_surface,تلك,تِلْكَ,تلك,تِلْكَ,closed_class,1.000,2:111:11,
closed_class_surface,ذلك,كَذَلِكَ,كذلك,ذَلِكَ,closed_class,1.000,2:113:16,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:113:18,
low_confidence,ختلف,يَخْتَلِفُونَ,يختلفون,خْتَلِفُ,فعلل,0.697,2:113:31,خلف/فتعل@0.68 ; ختلف/فعلل@0.63 ; ختلف/فعلل@0.63
no_root_found,N/A,وَالْأَرْضِ,والأرض,أَرْضِ,ارض,1.000,2:116:11,
no_root_found,N/A,وَالْأَرْضِ,والأرض,أَرْضِ,ارض,1.000,2:117:3,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:118:2,
closed_class_surface,ذلك,كَذَلِكَ,كذلك,ذَلِكَ,closed_class,1.000,2:118:11,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:118:13,
closed_class_surface,الذي,الَّذِي,الذي,الَّذِي,closed_class,1.000,2:120:20,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:121:1,
no_root_found,N/A,إِسْرَائِيلَ,إسرائيل,إِسْرَائِيلَ,اسراءيل,1.000,2:122:2,
closed_class_surface,التي,الَّتِي,التي,الَّتِي,closed_class,1.000,2:122:5,
no_root_found,N/A,إِبْرَاهِيمَ,إبراهيم,إِبْرَاهِيمَ,ابراهيم,1.000,2:124:3,
no_root_found,N/A,إِبْرَاهِيمَ,إبراهيم,إِبْرَاهِيمَ,ابراهيم,1.000,2:125:10,
no_root_found,N/A,إِبْرَاهِيمَ,إبراهيم,إِبْرَاهِيمَ,ابراهيم,1.000,2:125:14,
no_root_found,N/A,وَإِسْمَاعِيلَ,وإسماعيل,إِسْمَاعِيلَ,اسماعيل,1.000,2:125:15,
no_root_found,N/A,إِبْرَاهِيمُ,إبراهيم,إِبْرَاهِيمُ,ابراهيم,1.000,2:126:3,
closed_class_surface,هذا,هَذَا,هذا,هَذَا,closed_class,1.000,2:126:6,
no_root_found,N/A,إِبْرَاهِيمُ,إبراهيم,إِبْرَاهِيمُ,ابراهيم,1.000,2:127:3,
no_root_found,N/A,وَإِسْمَاعِيلُ,وإسماعيل,إِسْمَاعِيلُ,اسماعيل,1.000,2:127:7,
no_root_found,N/A,إِبْرَاهِيمَ,إبراهيم,إِبْرَاهِيمَ,ابراهيم,1.000,2:130:5,
no_root_found,N/A,الصَّالِحِينَ,الصالحين,صَالِحِ,صالح,1.000,2:130:18,
no_root_found,N/A,إِبْرَاهِيمُ,إبراهيم,إِبْرَاهِيمُ,ابراهيم,1.000,2:132:3,
no_root_found,N/A,وَيَعْقُوبُ,ويعقوب,يَعْقُوبُ,يعقوب,1.000,2:132:5,
no_root_found,N/A,يَعْقُوبَ,يعقوب,يَعْقُوبَ,يعقوب,1.000,2:133:6,
no_root_found,N/A,إِبْرَاهِيمَ,إبراهيم,إِبْرَاهِيمَ,ابراهيم,1.000,2:133:20,
no_root_found,N/A,وَإِسْمَاعِيلَ,وإسماعيل,إِسْمَاعِيلَ,اسماعيل,1.000,2:133:21,
no_root_found,N/A,وَإِسْحَاقَ,وإسحاق,إِسْحَاقَ,اسحاق,1.000,2:133:22,
closed_class_surface,تلك,تِلْكَ,تلك,تِلْكَ,closed_class,1.000,2:134:1,
no_root_found,N/A,هُودَاً,هودا,هُودَ,هود,1.000,2:135:3,
no_root_found,N/A,إِبْرَاهِيمَ,إبراهيم,إِبْرَاهِيمَ,ابراهيم,1.000,2:135:10,
no_root_found,N/A,إِبْرَاهِيمَ,إبراهيم,إِبْرَاهِيمَ,ابراهيم,1.000,2:136:10,
no_root_found,N/A,وَإِسْمَاعِيلَ,وإسماعيل,إِسْمَاعِيلَ,اسماعيل,1.000,2:136:11,
no_root_found,N/A,وَإِسْحَاقَ,وإسحاق,إِسْحَاقَ,اسحاق,1.000,2:136:12,
no_root_found,N/A,وَيَعْقُوبَ,ويعقوب,يَعْقُوبَ,يعقوب,1.000,2:136:13,
no_root_found,N/A,مُوسَى,موسى,مُوسَى,موسي,1.000,2:136:17,
no_root_found,N/A,وَعِيسَى,وعيسى,عِيسَى,عيسي,1.000,2:136:18,
no_root_found,N/A,إِبْرَاهِيمَ,إبراهيم,إِبْرَاهِيمَ,ابراهيم,1.000,2:140:4,
no_root_found,N/A,وَإِسْمَاعِيلَ,وإسماعيل,إِسْمَاعِيلَ,اسماعيل,1.000,2:140:5,
no_root_found,N/A,وَإِسْحَاقَ,وإسحاق,إِسْحَاقَ,اسحاق,1.000,2:140:6,
no_root_found,N/A,وَيَعْقُوبَ,ويعقوب,يَعْقُوبَ,يعقوب,1.000,2:140:7,
no_root_found,N/A,هُودَاً,هودا,هُودَ,هود,1.000,2:140:10,
closed_class_surface,تلك,تِلْكَ,تلك,تِلْكَ,closed_class,1.000,2:141:1,
closed_class_surface,التي,الَّتِي,التي,الَّتِي,closed_class,1.000,2:142:9,
closed_class_surface,ذلك,وَكَذَلِكَ,وكذلك,ذَلِكَ,closed_class,1.000,2:143:1,
closed_class_surface,التي,الَّتِي,التي,الَّتِي,closed_class,1.000,2:143:16,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:143:33,
no_root_found,N/A,تَقَلُّبَ,تقلب,قَلُّبَ,قلب,1.000,2:144:3,
no_root_found,N/A,الْمَسْجِدِ,المسجد,مَسْجِدِ,مسجد,1.000,2:144:13,
low_confidence,حيثم,وَحَيْثُمَا,وحيثما,حَيْثُمَا,فعلل,0.689,2:144:15,حيثم/فعلل@0.69 ; حيثم/فعلل@0.63 ; حيثم/فعلل@0.63
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:144:22,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:145:3,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:146:1,
no_root_found,N/A,الْمَسْجِدِ,المسجد,مَسْجِدِ,مسجد,1.000,2:149:7,
no_root_found,N/A,الْمَسْجِدِ,المسجد,مَسْجِدِ,مسجد,1.000,2:150:7,
low_confidence,حيثم,وَحَيْثُمَا,وحيثما,حَيْثُمَا,فعلل,0.689,2:150:9,حيثم/فعلل@0.69 ; حيثم/فعلل@0.63 ; حيثم/فعلل@0.63
no_root_found,N/A,حُجَّةٌ,حجة,حُجَّ,حج,1.000,2:150:19,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:150:21,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:153:2,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:156:1,
no_root_found,N/A,حَجَّ,حج,حَجَّ,حج,1.000,2:158:8,
no_root_found,N/A,جُنَاحَ,جناح,جُنَاحَ,جناح,1.000,2:158:13,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:159:2,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:160:2,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:161:2,
no_root_found,N/A,وَالْأَرْضِ,والأرض,أَرْضِ,ارض,1.000,2:164:5,
closed_class_surface,التي,الَّتِي,التي,الَّتِي,closed_class,1.000,2:164:10,
no_root_found,N/A,الْأَرْضَ,الأرض,أَرْضَ,ارض,1.000,2:164:26,
no_root_found,N/A,وَالسَّحَابِ,والسحاب,سَحَابِ,سحاب,1.000,2:164:36,
no_root_found,N/A,وَالْأَرْضِ,والأرض,أَرْضِ,ارض,1.000,2:164:40,
closed_class_surface,الذين,وَالَّذِينَ,والذين,الَّذِينَ,closed_class,1.000,2:165:12,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:165:19,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:166:3,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:166:6,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:167:2,
closed_class_surface,ذلك,كَذَلِكَ,كذلك,ذَلِكَ,closed_class,1.000,2:167:13,
no_root_found,N/A,الْأَرْضِ,الأرض,أَرْضِ,ارض,1.000,2:168:6,
no_root_found,N/A,تَتَّبِعُوا,تتبعوا,تَّبِعُ,تبع,1.000,2:168:10,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:171:2,
closed_class_surface,الذي,الَّذِي,الذي,الَّذِي,closed_class,1.000,2:171:5,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:172:2,
no_root_found,N/A,وَلَحْمَ,ولحم,لَحْمَ,لحم,1.000,2:173:6,
no_root_found,N/A,الْخِنْزِيرِ,الخنزير,خِنْزِيرِ,خنزير,1.000,2:173:7,
no_root_found,N/A,عَادٍ,عاد,عَادٍ,عاد,1.000,2:173:18,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:174:2,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:175:2,
closed_class_surface,ذلك,ذَلِكَ,ذلك,ذَلِكَ,closed_class,1.000,2:176:1,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:176:8,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:177:47,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:178:2,
closed_class_surface,ذلك,ذَلِكَ,ذلك,ذَلِكَ,closed_class,1.000,2:178:26,
closed_class_surface,ذلك,ذَلِكَ,ذلك,ذَلِكَ,closed_class,1.000,2:178:34,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:181:8,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:183:2,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:183:10,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:184:15,
no_root_found,N/A,رَمَضَانَ,رمضان,رَمَضَانَ,رمضان,1.000,2:185:2,
closed_class_surface,الذي,الَّذِي,الذي,الَّذِي,closed_class,1.000,2:185:3,
low_confidence,ليصم,فَلْيَصُمْهُ,فليصمه,فَلْيَصُمْ,فعلل,0.628,2:185:17,ليصم/فعلل@0.63 ; لصم/فيعال@0.58 ; لصم/فيعال@0.58
low_confidence,لمن,وَلْيُؤْمِنُوا,وليؤمنوا,وَلْيُؤْمِنُ,فياعل,0.479,2:186:14,
closed_class_surface,تلك,تِلْكَ,تلك,تِلْكَ,closed_class,1.000,2:187:54,
closed_class_surface,ذلك,كَذَلِكَ,كذلك,ذَلِكَ,closed_class,1.000,2:187:59,
no_root_found,N/A,وَالْحَجِّ,والحج,حَجِّ,حج,1.000,2:189:8,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:190:5,
no_root_found,N/A,الْمَسْجِدِ,المسجد,مَسْجِدِ,مسجد,1.000,2:191:15,
closed_class_surface,ذلك,كَذَلِكَ,كذلك,ذَلِكَ,closed_class,1.000,2:191:23,
no_root_found,N/A,الْحَجَّ,الحج,حَجَّ,حج,1.000,2:196:2,
no_root_found,N/A,الْحَجِّ,الحج,حَجِّ,حج,1.000,2:196:40,
no_root_found,N/A,الْحَجِّ,الحج,حَجِّ,حج,1.000,2:196:52,
closed_class_surface,تلك,تِلْكَ,تلك,تِلْكَ,closed_class,1.000,2:196:56,
closed_class_surface,ذلك,ذَلِكَ,ذلك,ذَلِكَ,closed_class,1.000,2:196:59,
no_root_found,N/A,الْمَسْجِدِ,المسجد,مَسْجِدِ,مسجد,1.000,2:196:65,
no_root_found,N/A,الْحَجُّ,الحج,حَجُّ,حج,1.000,2:197:1,
no_root_found,N/A,الْحَجَّ,الحج,حَجَّ,حج,1.000,2:197:7,
no_root_found,N/A,الْحَجِّ,الحج,حَجِّ,حج,1.000,2:197:15,
no_root_found,N/A,جُنَاحٌ,جناح,جُنَاحٌ,جناح,1.000,2:198:3,
no_root_found,N/A,عَرَفَاتٍ,عرفات,عَرَفَاتٍ,عرفات,1.000,2:198:12,
no_root_found,N/A,قَلْبِهِ,قلبه,قَلْبِ,قلب,1.000,2:204:14,
no_root_found,N/A,الْأَرْضِ,الأرض,أَرْضِ,ارض,1.000,2:205:5,
no_root_found,N/A,جَهَنَّمُ,جهنم,جَهَنَّمُ,جهنم,1.000,2:206:10,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:208:2,
no_root_found,N/A,السِّلْمِ,السلم,سِلْمِ,سلم,1.000,2:208:6,
no_root_found,N/A,تَتَّبِعُوا,تتبعوا,تَّبِعُ,تبع,1.000,2:208:9,
no_root_found,N/A,إِسْرَائِيلَ,إسرائيل,إِسْرَائِيلَ,اسراءيل,1.000,2:211:3,
closed_class_surface,الذين,لِلَّذِينَ,للذين,الَذِينَ,closed_class,1.000,2:212:2,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:212:8,
closed_class_surface,الذين,وَالَّذِينَ,والذين,الَّذِينَ,closed_class,1.000,2:212:10,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:213:24,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:213:35,
no_root_found,N/A,بِإِذْنِهِ,بإذنه,إِذْنِ,اذن,1.000,2:213:42,
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:214:9,
closed_class_surface,الذين,وَالَّذِينَ,والذين,الَّذِينَ,closed_class,1.000,2:214:20,
no_root_found,N/A,وَالْمَسْجِدِ,والمسجد,مَسْجِدِ,مسجد,1.000,2:217:17,
low_confidence,رتدد,يَرْتَدِدْ,يرتدد,رْتَدِدْ,فعلل,0.697,2:217:39,ردد/فتعل@0.68 ; رتدد/فعلل@0.63 ; رتدد/فعلل@0.63
closed_class_surface,الذين,الَّذِينَ,الذين,الَّذِينَ,closed_class,1.000,2:218:2,
closed_class_surface,الذين,وَالَّذِينَ,والذين,الَّذِينَ,closed_class,1.000,2:218:4,
no_root_found,N/A,الْخَمْرِ,الخمر,خَمْرِ,خمر,1.000,2:219:3,
closed_class_surface,ذلك,كَذَلِكَ,كذلك,ذَلِكَ,closed_class,1.000,2:219:20,
no_root_found,N/A,بِإِذْنِهِ,بإذنه,إِذْنِ,اذن,1.000,2:221:34,
low_confidence,طهرن,يَطْهُرْنَ,يطهرن,طْهُرْنَ,فعلل,0.630,2:222:14,طهرن/فعلل@0.63 ; طهرن/فعلل@0.63 ; طهرن/فعلل@0.63
closed_class_surface,الذين,لِلَّذِينَ,للذين,الَذِينَ,closed_class,1.000,2:226:1,
closed_class_surface,ذلك,ذَلِكَ,ذلك,ذَلِكَ,closed_class,1.000,2:228:26,
closed_class_surface,الذي,الَّذِي,الذي,الَّذِي,closed_class,1.000,2:228:32,
no_root_found,N/A,جُنَاحَ,جناح,جُنَاحَ,جناح,1.000,2:229:30,
closed_class_surface,تلك,تِلْكَ,تلك,تِلْكَ,closed_class,1.000,2:229:35,
no_root_found,N/A,جُنَاحَ,جناح,جُنَاحَ,جناح,1.000,2:230:15,
low_confidence,رجع,يَتَرَاجَعَا,يتراجعا,يَتَرَاجَعَا,يتفاعل,0.688,2:230:18,رجع/يتفاعل@0.65 ; راجع/يتفعلل@0.57
closed_class_surface,تلك,وَتِلْكَ,وتلك,تِلْكَ,closed_class,1.000,2:230:25,
closed_class_surface,ذلك,ذَلِكَ,ذلك,ذَلِكَ,closed_class,1.000,2:231:17,
closed_class_surface,ذلك,ذَلِكَ,ذلك,ذَلِكَ,closed_class,1.000,2:232:15,
low_confidence,رضع,يُرْضِعْنَ,يرضعن,رْضِعْنَ,فعلن,0.684,2:233:2,رضعن/فعلل@0.63 ; رضعن/فعلل@0.63 ; رضعن/فعلل@0.63
closed_class_surface,ذلك,ذَلِكَ,ذلك,ذَلِكَ,closed_class,1.000,2:233:33,
no_root_found,N/A,جُنَاحَ,جناح,جُنَاحَ,جناح,1.000,2:233:42,
no_root_found,N/A,جُنَاحَ,جناح,جُنَاحَ,جناح,1.000,2:233:50,
no_root_found,N/A,سَلَّمْتُمْ,سلمتم,سَلَّمْ,سلم,1.000,2:233:53,
closed_class_surface,الذين,وَالَّذِينَ,والذين,الَّذِينَ,closed_class,1.000,2:234:1,
no_root_found,N/A,جُنَاحَ,جناح,جُنَاحَ,جناح,1.000,2:234:15,
no_root_found,N/A,جُنَاحَ,جناح,جُنَاحَ,جناح,1.000,2:235:2,
no_root_found,N/A,جُنَاحَ,جناح,جُنَاحَ,جناح,1.000,2:236:2,
closed_class_surface,الذي,الَّذِي,الذي,الَّذِي,closed_class,1.000,2:237:19,
closed_class_surface,الذين,وَالَّذِينَ,والذين,الَّذِينَ,closed_class,1.000,2:240:1,
