line,sentence,n_words,n_matched,coverage,n_claims,top_topic,constructions,meanings
49,أَيْنَمَا تَنْزِلْ أَنْزِلْ,3,0,0.0,0,—,—,
50,أَنَّى تَسْتَقِمْ تَرْبَحْ,3,1,33.3,1,SHART_ANNA,—,«أَنَّى»→أَنَّى الشَّرطيَّة — اسم شَرط لِلمَكان أَو الكَيفيَّة
51,حَيْثُمَا تَسْتَقِمْ يَقْدَرْ لَكَ اللَّهُ نَجَاحًا,6,1,16.7,1,SHART_HAYTHUMA,—,«حَيْثُمَا»→حَيثُما الشَّرطيَّة — اسم شَرط لِلمَكان
52,إِذْمَا تَذْهَبْ أَذْهَبْ,3,0,0.0,0,—,—,
53,لَوْ تَقَدَّمْ تَنْجَحْ,3,1,33.3,1,SHART_LAW,—,«لَوْ»→لَو الشَّرطيَّة — حَرف امتِناع لِامتِناع — غَير جازِمَة
54,إِذَا تَتَعَلَّمْ تُفْلِحْ,3,1,33.3,2,SHART_IDHA,—,«إِذَا»→إِذا الشَّرطيَّة — أَداة شَرط غَير جازِمَة (ظَرف لِلمُستَقبَ
55,رَأَيْتُ أَحَدَ عَشَرَ كَوْكَبًا,4,1,25.0,4,PREP_KAF,—,«كَوْكَبًا»→الكاف لِلتَّشبيه — وَ هو الأَصل
56,كَمْ دَارًا بَنَيْتَ؟,3,1,33.3,11,PREP_BA,—,«بَنَيْتَ»→الباء لِلإِلصاق — حَقيقيّ أَو مَجازيّ — وَ هي الأَصل
57,كَأَيْنَ عَبْدًا مَلَكْتَ,3,1,33.3,5,PREP_KAF,—,«كَأَيْنَ»→الكاف لِلتَّشبيه — وَ هو الأَصل
58,كَذَا وَكَذَا دِرْهَمًا مَلَكْتَ,4,2,50.0,7,PREP_KAF,—,«كَذَا»→الكاف لِلتَّشبيه — وَ هو الأَصل | «وَكَذَا»→الواو لِلقَسَم — تُجَرّ ما بَعدَها لِلقَسَم
59,مَلَكْتَ مِائَةَ دِرْهَمٍ,3,0,0.0,0,—,—,
60,رَأَيْتُ أَلْفَ رَجُلٍ,3,0,0.0,0,—,—,
61,مَلَكْتَ أَلْوَفَ دَرَاهِمَ,3,0,0.0,0,—,—,
62,جَمَعْتُ مَلَايِينَ دِرْهَمٍ,3,0,0.0,0,—,—,
63,أَيَّةَ كِتَابًا قَرَأْتَ؟,3,1,33.3,4,PREP_KAF,—,«كِتَابًا»→الكاف لِلتَّشبيه — وَ هو الأَصل
64,كَيْتَ مَالًا جَمَعْتَ؟,3,1,33.3,4,PREP_KAF,—,«كَيْتَ»→الكاف لِلتَّشبيه — وَ هو الأَصل
65,جَاءَ ذُو مَالٍ كَثِيرٍ,4,1,25.0,4,PREP_KAF,—,«كَثِيرٍ»→الكاف لِلتَّشبيه — وَ هو الأَصل
66,يَا رَيْحَانُ رُوَيْدَ زَيْدًا,4,0,0.0,0,—,—,
67,يَا وَلَدَانِ بَلْهَ بَسِيطًا,4,3,75.0,25,PREP_BA,—,«وَلَدَانِ»→الواو لِلقَسَم — تُجَرّ ما بَعدَها لِلقَسَم | «بَلْهَ»→الباء لِلإِلصاق — حَقيقيّ أَو مَجازيّ — وَ هي الأَصل | «بَسِيطًا»→الباء لِلإِلصاق — حَقيقيّ أَو مَجازيّ — وَ هي الأَصل
68,يَا بَسِيطُ دُونَكَ الْكِتَابَ,4,1,25.0,11,PREP_BA,—,«بَسِيطُ»→الباء لِلإِلصاق — حَقيقيّ أَو مَجازيّ — وَ هي الأَصل
69,يَا رَيْحَانُ عَلَيْكَ مُهْتَدِيًا,4,0,0.0,0,—,—,
70,يَا سَرْمِينُ هَاءَ دِرْهَمًا,4,1,25.0,1,SIN_SAWFA,—,«سَرْمِينُ»→السين — حَرف تَنفيس قَريب — يَدُلّ على المُستَقبَل القَريب
71,يَا وَلَدَانِ حَيَّهَلِ الْقَهْوَةَ,4,1,25.0,3,PREP_WAW,—,«وَلَدَانِ»→الواو لِلقَسَم — تُجَرّ ما بَعدَها لِلقَسَم
72,هَيْهَاتَ الْعَقِيقُ,2,0,0.0,0,—,—,
73,شَتَّانَ سَرْمِينُ وَبَسِيطٌ,3,2,66.7,4,PREP_WAW,—,«سَرْمِينُ»→السين — حَرف تَنفيس قَريب — يَدُلّ على المُستَقبَل القَريب | «وَبَسِيطٌ»→الواو لِلقَسَم — تُجَرّ ما بَعدَها لِلقَسَم
74,سُرْعَانَ زَيْدٌ خُرُوجًا,3,1,33.3,1,SIN_SAWFA,—,«سُرْعَانَ»→السين — حَرف تَنفيس قَريب — يَدُلّ على المُستَقبَل القَريب
75,كَانَ الْعَالِمُ طَالِبًا,3,1,33.3,6,PREP_KAF,—,«كَانَ»→الكاف لِلتَّشبيه — وَ هو الأَصل
76,صَارَ الْحَدِيدُ سَيْفًا,3,1,33.3,1,SIN_SAWFA,—,«سَيْفًا»→السين — حَرف تَنفيس قَريب — يَدُلّ على المُستَقبَل القَريب
77,أَصْبَحَ الْبَرْدُ شَدِيدًا,3,0,0.0,0,—,—,
78,أَمْسَى الْفَلَّاحُ رَاجِعًا,3,0,0.0,0,—,—,
79,أَضْحَى الطَّالِبُ مُصَلِّيًا,3,0,0.0,0,—,—,
80,ظَلَّ بَسِيطٌ صَائِمًا,3,1,33.3,11,PREP_BA,—,«بَسِيطٌ»→الباء لِلإِلصاق — حَقيقيّ أَو مَجازيّ — وَ هي الأَصل
81,بَاتَ الطَّالِبُ مُتَدَرِّسًا,3,1,33.3,11,PREP_BA,—,«بَاتَ»→الباء لِلإِلصاق — حَقيقيّ أَو مَجازيّ — وَ هي الأَصل
82,مَا زَالَ زَيْدٌ مُنْفَرِدًا,4,1,25.0,5,RELATIVE,—,«مَا»→ما الشَّرطيَّة — اسم شَرط لِغَير العاقِل
83,مَا بَرِحَ الْجَهْلُ مُضِرًّا,4,2,50.0,16,PREP_BA,—,«مَا»→ما الشَّرطيَّة — اسم شَرط لِغَير العاقِل | «بَرِحَ»→الباء لِلإِلصاق — حَقيقيّ أَو مَجازيّ — وَ هي الأَصل
84,مَا فَتِئَ سَرْمِينُ مُتَبَسِّمًا,4,3,75.0,7,RELATIVE,—,«مَا»→ما الشَّرطيَّة — اسم شَرط لِغَير العاقِل | «فَتِئَ»→فاء رابِطَة لِجَواب الشَّرط — تَلزَم إذا كانَ الجَواب جُملَة | «سَرْمِينُ»→السين — حَرف تَنفيس قَريب — يَدُلّ على المُستَقبَل القَريب
85,مَا انْفَكَّ هَاشِمٌ عَالِمًا,4,1,25.0,5,RELATIVE,—,«مَا»→ما الشَّرطيَّة — اسم شَرط لِغَير العاقِل
86,مَا دَامَ الْفَاسِقُ مُتَرَدِّدًا,4,1,25.0,5,RELATIVE,—,«مَا»→ما الشَّرطيَّة — اسم شَرط لِغَير العاقِل
87,لَيْسَ زَيْدٌ حَاضِرًا,3,1,33.3,13,PREP_LAM,—,«لَيْسَ»→اللام لِلمِلك — تَدُلّ عَلى الِامتِلاك
88,عَسَى زَيْدٌ أَنْ يَحْضُرَ,4,1,25.0,2,SHART_IN,—,«أَنْ»→إِن الشَّرطيَّة — حَرف جَزم لِفِعلَين (شَرط + جَواب) — أَصل 
89,كَادَ زَيْدٌ يَقُومُ,3,1,33.3,4,PREP_KAF,—,«كَادَ»→الكاف لِلتَّشبيه — وَ هو الأَصل
90,كَرُبَ الْقَلْبُ يَذُوبُ,3,1,33.3,6,PREP_KAF,—,«كَرُبَ»→الكاف لِلتَّشبيه — وَ هو الأَصل
91,أَوْشَكَ زَيْدٌ أَنْ يَقُومَ,4,1,25.0,2,SHART_IN,—,«أَنْ»→إِن الشَّرطيَّة — حَرف جَزم لِفِعلَين (شَرط + جَواب) — أَصل 
92,نِعْمَ الرَّجُلُ مُحَمَّدٌ,3,0,0.0,0,—,—,
93,بِئْسَ الطَّالِبُ النَّوَّامُ,3,1,33.3,11,PREP_BA,—,«بِئْسَ»→الباء لِلإِلصاق — حَقيقيّ أَو مَجازيّ — وَ هي الأَصل
94,سَاءَ الطَّالِبُ الْكَسُولُ,3,1,33.3,1,SIN_SAWFA,—,«سَاءَ»→السين — حَرف تَنفيس قَريب — يَدُلّ على المُستَقبَل القَريب
95,حَبَّذَا زَيْدٌ,2,0,0.0,0,—,—,
96,حَسِبْتُ زَيْدًا حَاضِرًا,3,0,0.0,0,—,—,
97,خِلْتُ الْهِلَالَ لَائِحًا,3,1,33.3,13,PREP_LAM,—,«لَائِحًا»→اللام لِلمِلك — تَدُلّ عَلى الِامتِلاك
98,ظَنَنْتُ زَيْدًا قَائِمًا,3,0,0.0,0,—,—,
99,رَأَيْتُ الطَّالِبَ نَاجِحًا,3,0,0.0,0,—,—,
100,عَلِمْتُ الزَّاهِدَ مَرْزُوقًا,3,0,0.0,0,—,—,
101,وَجَدْتُ الْعِلْمَ نَافِعًا,3,1,33.3,3,PREP_WAW,—,«وَجَدْتُ»→الواو لِلقَسَم — تُجَرّ ما بَعدَها لِلقَسَم
102,زَعَمْتُ زَيْدًا عَالِمًا,3,0,0.0,0,—,—,
